#,number_of_header_lines:,70,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,ESRL,GMD,DATA,****************,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,made,freely,available,to,the,public,and,the,,,,,,,,,,,,,,
#,comment:,scientific,community,in,the,belief,that,their,wide,dissemination,,,,,,,,,,,,,,,,
#,comment:,will,lead,to,greater,understanding,and,new,scientific,insights.,,,,,,,,,,,,,,,,
#,comment:,The,availability,of,these,data,does,not,constitute,publication,,,,,,,,,,,,,,,,
#,comment:,of,the,data.,NOAA,relies,on,the,ethics,and,integrity,of,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,ESRL,receives,fair,credit,for,their,work.,If,the,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,potential,use,in,a,publication,or,"presentation,",,,,,,,,,,,,,,,
#,comment:,ESRL,should,be,informed,at,the,outset,of,the,nature,of,this,work.,,,,,,,,,,,,
#,comment:,If,the,ESRL,data,are,essential,to,the,"work,",or,if,an,important,,,,,,,,,,,,
#,comment:,result,or,conclusion,depends,on,the,ESRL,"data,",co-authorship,,,,,,,,,,,,,,,,
#,comment:,may,be,appropriate.,This,should,be,discussed,at,an,early,stage,in,,,,,,,,,,,,,
#,comment:,the,work.,Manuscripts,using,the,ESRL,data,should,be,sent,to,ESRL,,,,,,,,,,,,,
#,comment:,for,review,before,they,are,submitted,for,publication,so,we,can,,,,,,,,,,,,,,
#,comment:,ensure,that,the,quality,and,limitations,of,the,data,are,accurately,,,,,,,,,,,,,,
#,comment:,represented.,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Every,effort,is,made,to,produce,the,most,accurate,and,precise,,,,,,,,,,,,,,
#,comment:,measurements,possible.,"However,",we,reserve,the,right,to,make,,,,,,,,,,,,,,,,
#,comment:,corrections,to,the,data,based,on,recalibration,of,standard,gases,,,,,,,,,,,,,,,
#,comment:,or,for,other,reasons,deemed,scientifically,justified.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,We,are,not,responsible,for,results,and,conclusions,based,on,use,,,,,,,,,,,,,,
#,comment:,of,these,data,without,regard,to,this,warning.,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,contact_parameter:,CO2,CCGG,(Individual,Flasks),,,,,,,,,,,,,,,,,,,,,
#,contact_name:,Ed,Dlugokencky,,,,,,,,,,,,,,,,,,,,,,,
#,contact_telephone:,-303,497-6228,,,,,,,,,,,,,,,,,,,,,,,
#,contact_email:,Ed.Dlugokencky@noaa.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,COLLABORATORS,***************,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,NOAA,thanks,the,following,collaborators,without,,,,,,,,,,,,,,,,,,,
#,comment:,whom,these,measurements,would,not,be,possible.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,NOAA,Earth,System,Research,"Laboratory,",Global,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,Monitoring,Division,[NOAA,ESRL,GMD],,,,,,,,,,,,,,,,,,,,
#,collaborator_url:,http://www.esrl.noaa.gov/gmd,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,RECIPROCITY,AGREEMENT,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Use,of,these,data,implies,an,agreement,to,reciprocate.,,,,,,,,,,,,,,,,
#,comment:,Laboratories,making,similar,measurements,agree,to,make,their,,,,,,,,,,,,,,,,,
#,comment:,own,data,available,to,the,general,public,and,to,the,scientific,,,,,,,,,,,,,,
#,comment:,community,in,an,equally,complete,and,easily,accessible,form.,,,,,,,,,,,,,,,,
#,comment:,Modelers,are,encouraged,to,make,available,to,the,"community,",,,,,,,,,,,,,,,,
#,comment:,upon,"request,",their,own,tools,used,in,the,interpretation,,,,,,,,,,,,,,,,
#,comment:,of,the,ESRL,"data,",namely,well,documented,model,"code,",transport,,,,,,,,,,,,,,,
#,comment:,"fields,",and,additional,information,necessary,for,other,,,,,,,,,,,,,,,,,,
#,comment:,scientists,to,repeat,the,work,and,to,run,modified,versions.,,,,,,,,,,,,,,,
#,comment:,Model,availability,includes,collaborative,support,for,new,,,,,,,,,,,,,,,,,,
#,comment:,users,of,the,models.,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DESCRIPTION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,description_site-code:,mlo,,,,,,,,,,,,,,,,,,,,,,,,
#,description_project-abbr:,ccg_surface,,,,,,,,,,,,,,,,,,,,,,,,
#,description_strategy-abbr:,flask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_sample-constraints:,"date:1900-01-01,2018-12-31",,,,,,,,,,,,,,,,,,,,,,,,
#,description_creation-time:,7/16/19,13:37:11,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DOCUMENTATION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Please,refer,to,the,species-specific,README,file,in,the,,,,,,,,,,,,,,,,
#,comment:,appropriate,directory,folder,at,ftp://aftp.cmdl.noaa.gov/data/trace_gases/.,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
MLO,1969,8,20,17,55,0,33-69,N,co2,CCGG,323.17,0.53,..L,L1,1969,9,9,9,2,0,19.53,-155.58,3399,3397,2,78808
MLO,1969,8,20,17,55,0,34-69,N,co2,CCGG,324.72,0.53,+..,L1,1969,9,9,9,12,0,19.53,-155.58,3399,3397,2,78809
MLO,1969,8,20,18,30,0,31-69,N,co2,CCGG,-999.99,-999.99,*..,L1,1969,9,9,8,58,0,19.53,-155.58,3399,3397,2,78810
MLO,1969,8,20,18,30,0,32-69,N,co2,CCGG,-999.99,-999.99,*..,L1,1969,9,9,9,0,0,19.53,-155.58,3399,3397,2,78811
MLO,1969,8,27,19,15,0,35-69,N,co2,CCGG,-999.99,-999.99,*..,L1,1969,9,9,8,42,0,19.53,-155.58,3399,3397,2,78812
MLO,1969,8,27,19,15,0,36-69,N,co2,CCGG,326.28,0.53,-..,L1,1969,9,9,8,44,0,19.53,-155.58,3399,3397,2,78813
MLO,1969,8,27,19,50,0,37-69,N,co2,CCGG,322.87,0.53,..L,L1,1969,9,9,8,46,0,19.53,-155.58,3399,3397,2,78814
MLO,1969,8,27,19,50,0,38-69,N,co2,CCGG,-999.99,-999.99,*..,L1,1969,9,9,8,56,0,19.53,-155.58,3399,3397,2,78815
MLO,1969,9,2,19,20,0,21-69,N,co2,CCGG,320.32,0.53,.X.,L1,1969,9,9,8,28,0,19.53,-155.58,3399,3397,2,78816
MLO,1969,9,2,19,20,0,22-69,N,co2,CCGG,320.31,0.53,.X.,L1,1969,9,9,8,26,0,19.53,-155.58,3399,3397,2,78817
MLO,1969,9,2,20,0,0,39-69,N,co2,CCGG,322.9,0.53,..L,L1,1969,9,9,8,30,0,19.53,-155.58,3399,3397,2,78818
MLO,1969,9,2,20,0,0,40-69,N,co2,CCGG,-999.99,-999.99,*..,L1,1969,9,9,8,40,0,19.53,-155.58,3399,3397,2,78819
MLO,1969,9,12,17,50,0,Mar-69,N,co2,CCGG,320.79,0.53,..H,L1,1969,9,19,8,28,0,19.53,-155.58,3399,3397,2,78820
MLO,1969,9,12,17,50,0,Apr-69,N,co2,CCGG,320.44,0.53,..L,L1,1969,9,19,8,30,0,19.53,-155.58,3399,3397,2,78821
MLO,1969,9,12,18,30,0,May-69,N,co2,CCGG,321.15,0.53,..L,L1,1969,9,19,8,26,0,19.53,-155.58,3399,3397,2,78822
MLO,1969,9,12,18,30,0,Jun-69,N,co2,CCGG,321.4,0.53,..H,L1,1969,9,19,8,24,0,19.53,-155.58,3399,3397,2,78823
MLO,1969,9,24,17,55,0,21-69,N,co2,CCGG,320.28,0.53,...,L1,1969,10,10,8,8,0,19.53,-155.58,3399,3397,2,78824
MLO,1969,9,24,17,55,0,22-69,N,co2,CCGG,320.25,0.53,...,L1,1969,10,10,8,10,0,19.53,-155.58,3399,3397,2,78825
MLO,1969,9,24,18,40,0,29-69,N,co2,CCGG,321.76,0.53,...,L1,1969,10,10,8,12,0,19.53,-155.58,3399,3397,2,78826
MLO,1969,9,24,18,40,0,30-69,N,co2,CCGG,321.27,0.53,...,L1,1969,10,10,8,14,0,19.53,-155.58,3399,3397,2,78827
MLO,1969,10,3,17,50,0,16-69,N,co2,CCGG,320.66,0.53,...,L1,1969,10,10,8,24,0,19.53,-155.58,3399,3397,2,78828
MLO,1969,10,3,17,50,0,17-69,N,co2,CCGG,320.41,0.53,...,L1,1969,10,10,8,26,0,19.53,-155.58,3399,3397,2,78829
MLO,1969,10,17,17,55,0,46-69,N,co2,CCGG,321.4,0.53,...,L1,1969,10,22,9,48,0,19.53,-155.58,3399,3397,2,78830
MLO,1969,10,17,17,55,0,47-69,N,co2,CCGG,321.3,0.53,...,L1,1969,10,22,9,50,0,19.53,-155.58,3399,3397,2,78831
MLO,1969,10,17,19,0,0,48-69,N,co2,CCGG,320.74,0.53,...,L1,1969,10,22,9,46,0,19.53,-155.58,3399,3397,2,78832
MLO,1969,10,17,19,0,0,49-69,N,co2,CCGG,320.37,0.53,...,L1,1969,10,22,9,44,0,19.53,-155.58,3399,3397,2,78833
MLO,1969,10,31,17,50,0,111-69,N,co2,CCGG,320.5,0.53,...,L1,1969,11,26,9,18,0,19.53,-155.58,3399,3397,2,78834
MLO,1969,10,31,17,50,0,112-69,N,co2,CCGG,320.23,0.53,...,L1,1969,11,26,9,16,0,19.53,-155.58,3399,3397,2,78835
MLO,1969,10,31,18,50,0,113-69,N,co2,CCGG,320.7,0.53,...,L1,1969,11,26,9,28,0,19.53,-155.58,3399,3397,2,78836
MLO,1969,10,31,18,50,0,114-69,N,co2,CCGG,321.03,0.53,...,L1,1969,11,26,9,30,0,19.53,-155.58,3399,3397,2,78837
MLO,1969,11,19,17,50,0,119-69,N,co2,CCGG,323.09,0.53,...,L1,1969,11,26,9,12,0,19.53,-155.58,3399,3397,2,78839
MLO,1969,11,19,17,50,0,47-69,N,co2,CCGG,322.7,0.53,...,L1,1969,11,26,9,14,0,19.53,-155.58,3399,3397,2,78838
MLO,1969,11,19,18,50,0,48-69,N,co2,CCGG,322.7,0.53,...,L1,1969,11,26,8,40,0,19.53,-155.58,3399,3397,2,78840
MLO,1969,11,19,18,50,0,49-69,N,co2,CCGG,321.9,0.53,...,L1,1969,11,26,8,42,0,19.53,-155.58,3399,3397,2,78841
MLO,1969,12,10,17,45,0,Nov-69,N,co2,CCGG,322.94,0.53,...,L1,1969,12,18,8,46,0,19.53,-155.58,3399,3397,2,78842
MLO,1969,12,10,17,45,0,Dec-69,N,co2,CCGG,323.07,0.53,...,L1,1969,12,18,8,44,0,19.53,-155.58,3399,3397,2,78843
MLO,1969,12,10,18,30,0,13-69,N,co2,CCGG,323.29,0.53,...,L1,1969,12,18,8,40,0,19.53,-155.58,3399,3397,2,78844
MLO,1969,12,10,18,30,0,14-69,N,co2,CCGG,323.31,0.53,...,L1,1969,12,18,8,42,0,19.53,-155.58,3399,3397,2,78845
MLO,1970,1,12,20,35,0,115-70,N,co2,CCGG,325.59,0.53,...,L1,1970,2,24,9,12,0,19.53,-155.58,3399,3397,2,78846
MLO,1970,1,12,20,35,0,116-70,N,co2,CCGG,324.85,0.53,...,L1,1970,2,24,9,14,0,19.53,-155.58,3399,3397,2,78847
