#,number_of_header_lines:,69,,,#,#,number_of_header_lines:,#,number_of_header_lines:,70,,,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,#,#,comment:,#,comment:,************,USE,OF,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,#,#,comment:,#,comment:,These,data,are,,,,,,,,,,,,,,
#,comment:,scientific,community,in,#,#,comment:,#,comment:,scientific,community,in,,,,,,,,,,,,,,
#,comment:,will,lead,to,#,#,comment:,#,comment:,will,lead,to,,,,,,,,,,,,,,
#,comment:,The,availability,of,#,#,comment:,#,comment:,The,availability,of,,,,,,,,,,,,,,
#,comment:,of,the,data.,#,#,comment:,#,comment:,of,the,data.,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,ESRL,#,#,comment:,#,comment:,ensure,that,ESRL,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,#,#,comment:,#,comment:,are,obtained,for,,,,,,,,,,,,,,
#,number_of_header_lines:,70,,,#,#,number_of_header_lines:,#,number_of_header_lines:,71,,,this,work.,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,an,important,,,,,,,,,,,,
#,comment:,************,USE,OF,#,#,comment:,#,comment:,************,USE,OF,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,in,,,,,,,,,,,,,
#,comment:,These,data,are,#,#,comment:,#,comment:,These,data,are,ESRL,,,,,,,,,,,,,
#,comment:,scientific,community,in,#,#,comment:,#,comment:,scientific,community,in,,,,,,,,,,,,,,
#,comment:,will,lead,to,#,#,comment:,#,comment:,will,lead,to,,,,,,,,,,,,,,
#,comment:,The,availability,of,#,#,comment:,#,comment:,The,availability,of,,,,,,,,,,,,,,
#,comment:,of,the,data.,#,#,comment:,#,comment:,of,the,data.,,,,,,,,,,,,,,
#,comment:,ensure,that,ESRL,#,#,comment:,#,comment:,ensure,that,ESRL,,,,,,,,,,,,,,
#,comment:,are,obtained,for,#,#,comment:,#,comment:,are,obtained,for,,,,,,,,,,,,,,
#,number_of_header_lines:,71,,,#,#,number_of_header_lines:,#,number_of_header_lines:,72,,,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,#,#,comment:,#,comment:,************,USE,OF,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,#,#,comment:,#,comment:,These,data,are,,,,,,,,,,,,,,
#,comment:,scientific,community,in,#,#,comment:,#,comment:,scientific,community,in,,,,,,,,,,,,,,
#,comment:,will,lead,to,#,#,comment:,#,comment:,will,lead,to,,,,,,,,,,,,,,
#,comment:,The,availability,of,#,#,comment:,#,comment:,The,availability,of,,,,,,,,,,,,,,
#,comment:,of,the,data.,#,#,comment:,#,comment:,of,the,data.,,,,,,,,,,,,,,
#,comment:,ensure,that,ESRL,#,#,comment:,#,comment:,ensure,that,ESRL,,,,,,,,,,,,,,
#,comment:,are,obtained,for,#,#,comment:,#,comment:,are,obtained,for,,,,,,,,,,,,,,
#,number_of_header_lines:,72,,,#,#,number_of_header_lines:,#,number_of_header_lines:,73,,,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,#,#,comment:,#,comment:,************,USE,OF,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,number_of_header_lines:,70,,,#,#,number_of_header_lines:,#,number_of_header_lines:,71,,,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,#,#,comment:,#,comment:,************,USE,OF,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,#,#,comment:,#,comment:,These,data,are,,,,,,,,,,,,,,
#,comment:,scientific,community,in,#,#,comment:,#,comment:,scientific,community,in,,,,,,,,,,,,,,
#,comment:,will,lead,to,#,#,comment:,#,comment:,will,lead,to,,,,,,,,,,,,,,
#,comment:,The,availability,of,#,#,comment:,#,comment:,The,availability,of,,,,,,,,,,,,,,
#,comment:,of,the,data.,#,#,comment:,#,comment:,of,the,data.,,,,,,,,,,,,,,
#,comment:,ensure,that,ESRL,#,#,comment:,#,comment:,ensure,that,ESRL,,,,,,,,,,,,,,
#,comment:,are,obtained,for,#,#,comment:,#,comment:,are,obtained,for,,,,,,,,,,,,,,
#,number_of_header_lines:,71,,,#,#,number_of_header_lines:,#,number_of_header_lines:,72,,,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,#,#,comment:,#,comment:,************,USE,OF,,,,,,,,,,,,,,
#,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,,,,,,,,
#,comment:,These,data,are,#,#,comment:,#,comment:,These,data,are,,,,,,,,,,,,,,
#,comment:,scientific,community,in,#,#,comment:,#,comment:,scientific,community,in,,,,,,,,,,,,,,
#,comment:,will,lead,to,#,#,comment:,#,comment:,will,lead,to,,,,,,,,,,,,,,
#,comment:,The,availability,of,#,#,comment:,#,comment:,The,availability,of,,,,,,,,,,,,,,
#,comment:,of,the,data.,#,#,comment:,#,comment:,of,the,data.,,,,,,,,,,,,,,
#,number_of_header_lines:,70,,,#,#,number_of_header_lines:,#,number_of_header_lines:,71,,,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,#,#,comment:,#,comment:,************,USE,OF,,,,,,,,,,,,,,
#,comment:,,,,#,#,comment:,#,comment:,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,#,#,comment:,#,comment:,These,data,are,,,,,,,,,,,,,,
#,comment:,scientific,community,in,#,#,comment:,#,comment:,scientific,community,in,,,,,,,,,,,,,,
#,comment:,will,lead,to,#,#,comment:,#,comment:,will,lead,to,,,,,,,,,,,,,,
#,comment:,The,availability,of,#,#,comment:,#,comment:,The,availability,of,,,,,,,,,,,,,,
#,comment:,of,the,data.,#,#,comment:,#,comment:,of,the,data.,,,,,,,,,,,,,,
#,comment:,ensure,that,ESRL,#,#,comment:,#,comment:,ensure,that,ESRL,,,,,,,,,,,,,,
#,comment:,are,obtained,for,#,#,comment:,#,comment:,are,obtained,for,,,,,,,,,,,,,,
#,number_of_header_lines:,71,,,#,#,number_of_header_lines:,#,number_of_header_lines:,72,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
ALT,1985,6,10,18,20,0,387-85,P,co2,CCGG,349.38,0.18,.X.,U3,1985,8,1,11,36,0,82.4508,-62.5072,195,190,5,825
ALT,1985,6,10,18,20,0,388-85,P,co2,CCGG,349.08,0.18,.X.,U3,1985,8,1,11,38,0,82.4508,-62.5072,195,190,5,826
ALT,1985,6,17,19,27,0,389-85,P,co2,CCGG,350.75,0.18,...,U3,1985,8,1,11,8,0,82.4508,-62.5072,195,190,5,827
ALT,1985,6,17,19,27,0,390-85,P,co2,CCGG,350.48,0.18,...,U3,1985,8,1,11,10,0,82.4508,-62.5072,195,190,5,828
ALT,1985,6,24,19,4,0,391-85,P,co2,CCGG,350.07,0.18,..L,U3,1985,7,30,8,28,0,82.4508,-62.5072,195,190,5,829
ALT,1985,6,24,19,4,0,392-85,P,co2,CCGG,354.47,0.18,+..,U3,1985,7,30,8,30,0,82.4508,-62.5072,195,190,5,830
ALT,1985,7,1,19,13,0,393-85,P,co2,CCGG,349.1,0.18,...,U3,1985,7,30,8,24,0,82.4508,-62.5072,195,190,5,831
ALT,1985,7,1,19,13,0,394-85,P,co2,CCGG,349.11,0.18,...,U3,1985,7,30,8,26,0,82.4508,-62.5072,195,190,5,832
ALT,1985,7,8,21,18,0,881-83,P,co2,CCGG,344.43,0.18,...,U3,1985,9,16,9,44,0,82.4508,-62.5072,195,190,5,833
ALT,1985,7,8,21,18,0,882-83,P,co2,CCGG,344.44,0.18,...,U3,1985,9,16,9,46,0,82.4508,-62.5072,195,190,5,834
ALT,1985,7,15,19,5,0,905-82,P,co2,CCGG,344.02,0.18,...,U3,1985,9,16,10,48,0,82.4508,-62.5072,195,190,5,835
ALT,1985,7,15,19,5,0,906-82,P,co2,CCGG,343.66,0.18,...,U3,1985,9,16,10,50,0,82.4508,-62.5072,195,190,5,836
ALT,1985,7,22,18,49,0,1669-82,P,co2,CCGG,341.53,0.18,...,U3,1985,9,16,9,48,0,82.4508,-62.5072,195,190,5,837
ALT,1985,7,22,18,49,0,1670-82,P,co2,CCGG,341.54,0.18,...,U3,1985,9,16,9,50,0,82.4508,-62.5072,195,190,5,838
ALT,1985,7,29,19,4,0,1661-82,P,co2,CCGG,340.17,0.18,...,U3,1985,9,16,9,32,0,82.4508,-62.5072,195,190,5,839
ALT,1985,7,29,19,4,0,1662-82,P,co2,CCGG,340.05,0.18,...,U3,1985,9,16,9,34,0,82.4508,-62.5072,195,190,5,840
ALT,1985,8,26,19,22,0,1829-82,P,co2,CCGG,337.59,0.18,...,U3,1985,10,4,8,40,0,82.4508,-62.5072,195,190,5,841
ALT,1985,8,26,19,22,0,1830-82,P,co2,CCGG,337.35,0.18,...,U3,1985,10,4,8,42,0,82.4508,-62.5072,195,190,5,842
ALT,1985,9,2,18,57,0,877-82,P,co2,CCGG,337.56,0.18,...,U3,1985,10,4,8,56,0,82.4508,-62.5072,195,190,5,843
ALT,1985,9,2,18,57,0,878-82,P,co2,CCGG,337.41,0.18,...,U3,1985,10,4,8,58,0,82.4508,-62.5072,195,190,5,844
ALT,1985,9,10,18,58,0,771-83,P,co2,CCGG,339.61,0.18,...,U3,1985,10,29,10,32,0,82.4508,-62.5072,195,190,5,845
ALT,1985,9,10,18,58,0,772-83,P,co2,CCGG,339.42,0.18,...,U3,1985,10,29,10,34,0,82.4508,-62.5072,195,190,5,846
ALT,1985,9,16,19,41,0,627-82,P,co2,CCGG,338.81,0.18,...,U3,1985,10,29,10,36,0,82.4508,-62.5072,195,190,5,847
ALT,1985,9,16,19,41,0,628-82,P,co2,CCGG,338.68,0.18,...,U3,1985,10,29,10,38,0,82.4508,-62.5072,195,190,5,848
ALT,1985,9,23,18,58,0,1097-82,P,co2,CCGG,339.39,0.18,...,U3,1985,10,29,11,36,0,82.4508,-62.5072,195,190,5,849
ALT,1985,9,23,18,58,0,1098-82,P,co2,CCGG,339.24,0.18,...,U3,1985,10,29,11,38,0,82.4508,-62.5072,195,190,5,850
ALT,1985,9,30,19,31,0,256-83,P,co2,CCGG,340.22,0.18,...,U3,1985,10,29,11,24,0,82.4508,-62.5072,195,190,5,851
ALT,1985,10,14,19,14,0,577-83,P,co2,CCGG,343.67,0.18,...,U3,1985,11,20,9,18,0,82.4508,-62.5072,195,190,5,852
ALT,1985,10,21,19,7,0,749-82,P,co2,CCGG,343.31,0.18,...,U3,1985,11,20,8,44,0,82.4508,-62.5072,195,190,5,853
ALT,1985,10,21,19,7,0,750-82,P,co2,CCGG,343.29,0.18,...,U3,1985,11,20,8,46,0,82.4508,-62.5072,195,190,5,854
ALT,1985,10,28,19,50,0,733-81,P,co2,CCGG,344,0.18,...,U3,1985,12,16,10,52,0,82.4508,-62.5072,195,190,5,855
ALT,1985,10,28,19,50,0,734-81,P,co2,CCGG,344.03,0.18,...,U3,1985,12,16,10,54,0,82.4508,-62.5072,195,190,5,856
ALT,1985,11,4,20,38,0,1191-82,P,co2,CCGG,352.11,0.18,+..,U3,1985,12,16,9,32,0,82.4508,-62.5072,195,190,5,857
ALT,1985,11,4,20,38,0,1192-82,P,co2,CCGG,343.68,0.18,..L,U3,1985,12,16,9,34,0,82.4508,-62.5072,195,190,5,858
ALT,1985,11,18,19,24,0,265-83,P,co2,CCGG,346.13,0.18,...,U3,1986,1,2,9,0,0,82.4508,-62.5072,195,190,5,859
ALT,1985,11,18,19,24,0,266-83,P,co2,CCGG,346.36,0.18,...,U3,1986,1,2,9,2,0,82.4508,-62.5072,195,190,5,860
ALT,1985,11,25,19,42,0,187-83,P,co2,CCGG,348.7,0.18,+..,U3,1986,1,7,9,44,0,82.4508,-62.5072,195,190,5,861
ALT,1985,11,25,19,42,0,188-83,P,co2,CCGG,348.04,0.18,..L,U3,1986,1,7,9,46,0,82.4508,-62.5072,195,190,5,862
ALT,1985,12,2,20,3,0,295-82,P,co2,CCGG,347.62,0.18,...,U3,1986,1,10,8,44,0,82.4508,-62.5072,195,190,5,863
ALT,1985,12,2,20,3,0,296-82,P,co2,CCGG,347.48,0.18,...,U3,1986,1,10,8,46,0,82.4508,-62.5072,195,190,5,864
ALT,1985,12,10,19,33,0,1497-82,P,co2,CCGG,347.06,0.18,...,U3,1986,1,10,8,56,0,82.4508,-62.5072,195,190,5,865
ALT,1985,12,10,19,33,0,1498-82,P,co2,CCGG,346.9,0.18,...,U3,1986,1,10,8,58,0,82.4508,-62.5072,195,190,5,866
ALT,1985,12,16,19,44,0,1551-82,P,co2,CCGG,352.96,0.18,.X.,U3,1986,2,12,10,0,0,82.4508,-62.5072,195,190,5,867
ALT,1985,12,16,19,44,0,1552-82,P,co2,CCGG,352.7,0.18,.X.,U3,1986,2,12,10,2,0,82.4508,-62.5072,195,190,5,868
ALT,1985,12,23,19,14,0,921-83,P,co2,CCGG,349.9,0.18,..H,U3,1986,2,25,8,24,0,82.4508,-62.5072,195,190,5,869
ALT,1985,12,23,19,14,0,922-83,P,co2,CCGG,327.81,0.18,*..,U3,1986,2,25,8,26,0,82.4508,-62.5072,195,190,5,870
