#,number_of_header_lines:,68,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,ESRL,GMD,DATA,****************,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,made,freely,available,to,the,public,and,the,,,,,,,,,,,,,,
#,comment:,scientific,community,in,the,belief,that,their,wide,dissemination,,,,,,,,,,,,,,,,
#,comment:,will,lead,to,greater,understanding,and,new,scientific,insights.,,,,,,,,,,,,,,,,
#,comment:,The,availability,of,these,data,does,not,constitute,publication,,,,,,,,,,,,,,,,
#,comment:,of,the,data.,NOAA,relies,on,the,ethics,and,integrity,of,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,GML,receives,fair,credit,for,their,work.,If,the,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,potential,use,in,a,publication,or,"presentation,",,,,,,,,,,,,,,,
#,comment:,GML,should,be,informed,at,the,outset,of,the,nature,of,this,work.,,,,,,,,,,,,
#,comment:,If,the,GML,data,are,essential,to,the,"work,",or,if,an,important,,,,,,,,,,,,
#,comment:,result,or,conclusion,depends,on,the,GML,"data,",co-authorship,,,,,,,,,,,,,,,,
#,comment:,may,be,appropriate.,This,should,be,discussed,at,an,early,stage,in,,,,,,,,,,,,,
#,comment:,the,work.,Manuscripts,using,the,GML,data,should,be,sent,to,GML,,,,,,,,,,,,,
#,comment:,for,review,before,they,are,submitted,for,publication,so,we,can,,,,,,,,,,,,,,
#,comment:,ensure,that,the,quality,and,limitations,of,the,data,are,accurately,,,,,,,,,,,,,,
#,comment:,represented.,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Every,effort,is,made,to,produce,the,most,accurate,and,precise,,,,,,,,,,,,,,
#,comment:,measurements,possible.,"However,",we,reserve,the,right,to,make,,,,,,,,,,,,,,,,
#,comment:,corrections,to,the,data,based,on,recalibration,of,standard,gases,,,,,,,,,,,,,,,
#,comment:,or,for,other,reasons,deemed,scientifically,justified.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,We,are,not,responsible,for,results,and,conclusions,based,on,use,,,,,,,,,,,,,,
#,comment:,of,these,data,without,regard,to,this,warning.,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,contact_parameter:,CO2,CCGG,(Individual,Flasks),,,,,,,,,,,,,,,,,,,,,
#,contact_name:,Ed,Dlugokencky,,,,,,,,,,,,,,,,,,,,,,,
#,contact_telephone:,-303,497-6228,,,,,,,,,,,,,,,,,,,,,,,
#,contact_email:,Ed.Dlugokencky@noaa.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,COLLABORATORS,***************,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,NOAA,thanks,the,following,collaborators,without,,,,,,,,,,,,,,,,,,,
#,comment:,whom,these,measurements,would,not,be,possible.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,Office,National,de,la,Meteorologie,[ONM],,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,RECIPROCITY,AGREEMENT,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Use,of,these,data,implies,an,agreement,to,reciprocate.,,,,,,,,,,,,,,,,
#,comment:,Laboratories,making,similar,measurements,agree,to,make,their,,,,,,,,,,,,,,,,,
#,comment:,own,data,available,to,the,general,public,and,to,the,scientific,,,,,,,,,,,,,,
#,comment:,community,in,an,equally,complete,and,easily,accessible,form.,,,,,,,,,,,,,,,,
#,comment:,Modelers,are,encouraged,to,make,available,to,the,"community,",,,,,,,,,,,,,,,,
#,comment:,upon,"request,",their,own,tools,used,in,the,interpretation,,,,,,,,,,,,,,,,
#,comment:,of,the,GML,"data,",namely,well,documented,model,"code,",transport,,,,,,,,,,,,,,,
#,comment:,"fields,",and,additional,information,necessary,for,other,,,,,,,,,,,,,,,,,,
#,comment:,scientists,to,repeat,the,work,and,to,run,modified,versions.,,,,,,,,,,,,,,,
#,comment:,Model,availability,includes,collaborative,support,for,new,,,,,,,,,,,,,,,,,,
#,comment:,users,of,the,models.,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DESCRIPTION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,description_site-code:,ask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_project-abbr:,ccg_surface,,,,,,,,,,,,,,,,,,,,,,,,
#,description_strategy-abbr:,flask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_sample-constraints:,"me:-H~date:1900-01-01,2019-12-31",,,,,,,,,,,,,,,,,,,,,,,,
#,description_creation-time:,7/24/20,10:59:04,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DOCUMENTATION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Please,refer,to,the,species-specific,README,file,in,the,,,,,,,,,,,,,,,,
#,comment:,appropriate,directory,folder,at,ftp://aftp.cmdl.noaa.gov/data/trace_gases/.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
ASK,1995,9,12,10,47,0,159-91,P,co2,CCGG,357.14,0.12,...,S1,1995,11,2,10,52,0,23.2625,5.6322,2715,2710,5,9427
ASK,1995,9,12,10,47,0,160-91,P,co2,CCGG,357.08,0.12,...,S1,1995,11,2,10,54,0,23.2625,5.6322,2715,2710,5,9428
ASK,1995,9,25,13,40,0,May-91,P,co2,CCGG,357.34,0.12,+..,S1,1995,11,2,10,56,0,23.2625,5.6322,2715,2710,5,9429
ASK,1995,9,25,13,40,0,Jun-91,P,co2,CCGG,349.68,0.12,-..,S1,1995,11,2,10,58,0,23.2625,5.6322,2715,2710,5,9430
ASK,1995,10,10,11,30,0,993-91,P,co2,CCGG,357.88,0.12,...,S1,1996,4,30,8,28,0,23.2625,5.6322,2715,2710,5,9431
ASK,1995,10,10,11,30,0,994-91,P,co2,CCGG,358.22,0.12,...,S1,1996,4,30,8,30,0,23.2625,5.6322,2715,2710,5,9432
ASK,1995,10,24,13,56,0,1179-91,P,co2,CCGG,358.85,0.12,...,S1,1996,4,30,8,24,0,23.2625,5.6322,2715,2710,5,9433
ASK,1995,10,24,13,56,0,1180-91,P,co2,CCGG,358.76,0.12,...,S1,1996,4,30,8,26,0,23.2625,5.6322,2715,2710,5,9434
ASK,1995,11,7,8,25,0,329-91,P,co2,CCGG,359.1,0.12,...,S1,1996,4,30,8,16,0,23.2625,5.6322,2715,2710,5,9435
ASK,1995,11,7,8,25,0,330-91,P,co2,CCGG,359.18,0.12,...,S1,1996,4,30,8,18,0,23.2625,5.6322,2715,2710,5,9436
ASK,1995,11,21,10,30,0,529-91,P,co2,CCGG,360.69,0.12,...,S1,1996,5,6,10,4,0,23.2625,5.6322,2715,2710,5,9437
ASK,1995,11,21,10,30,0,530-91,P,co2,CCGG,360.61,0.12,...,S1,1996,5,6,10,6,0,23.2625,5.6322,2715,2710,5,9438
ASK,1995,12,5,11,45,0,1237-91,P,co2,CCGG,361.7,0.12,...,S1,1996,5,8,13,28,0,23.2625,5.6322,2715,2710,5,9439
ASK,1995,12,5,11,45,0,1238-91,P,co2,CCGG,361.67,0.12,...,S1,1996,5,8,13,30,0,23.2625,5.6322,2715,2710,5,9440
ASK,1995,12,19,11,35,0,1239-91,P,co2,CCGG,360.99,0.12,...,S1,1996,5,8,13,32,0,23.2625,5.6322,2715,2710,5,9441
ASK,1995,12,19,11,35,0,1240-91,P,co2,CCGG,360.93,0.12,...,S1,1996,5,8,13,34,0,23.2625,5.6322,2715,2710,5,9442
ASK,1996,1,23,13,0,0,841-91,P,co2,CCGG,362.87,0.12,...,S1,1996,5,14,13,0,0,23.2625,5.6322,2715,2710,5,9443
ASK,1996,1,23,13,0,0,842-91,P,co2,CCGG,362.97,0.12,...,S1,1996,5,14,13,2,0,23.2625,5.6322,2715,2710,5,9444
ASK,1996,2,6,12,20,0,207-91,P,co2,CCGG,363.71,0.12,...,S1,1996,5,14,12,56,0,23.2625,5.6322,2715,2710,5,9445
ASK,1996,2,6,12,20,0,208-91,P,co2,CCGG,363.75,0.12,...,S1,1996,5,14,12,58,0,23.2625,5.6322,2715,2710,5,9446
ASK,1996,2,25,10,20,0,1581-91,P,co2,CCGG,364.18,0.12,...,S1,1996,5,23,9,20,0,23.2625,5.6322,2715,2710,5,9447
ASK,1996,2,25,10,20,0,1582-91,P,co2,CCGG,364.23,0.12,...,S1,1996,5,23,9,22,0,23.2625,5.6322,2715,2710,5,9448
ASK,1996,3,10,11,20,0,611-91,P,co2,CCGG,364.44,0.12,...,S1,1996,5,23,9,24,0,23.2625,5.6322,2715,2710,5,9449
ASK,1996,3,10,11,20,0,612-91,P,co2,CCGG,364.42,0.12,...,S1,1996,5,23,9,26,0,23.2625,5.6322,2715,2710,5,9450
ASK,1996,3,24,13,0,0,717-91,P,co2,CCGG,364.61,0.12,...,S1,1996,10,18,18,2,0,23.2625,5.6322,2715,2710,5,9451
ASK,1996,3,24,13,0,0,718-91,P,co2,CCGG,364.64,0.12,...,S1,1996,10,18,18,3,0,23.2625,5.6322,2715,2710,5,9452
ASK,1996,4,8,12,45,0,163-91,P,co2,CCGG,364.93,0.12,...,S1,1996,10,22,17,41,0,23.2625,5.6322,2715,2710,5,9453
ASK,1996,4,8,12,45,0,164-91,P,co2,CCGG,364.92,0.12,...,S1,1996,10,22,17,42,0,23.2625,5.6322,2715,2710,5,9454
ASK,1996,4,21,10,35,0,461-91,P,co2,CCGG,365.14,0.12,...,S1,1996,10,22,17,46,0,23.2625,5.6322,2715,2710,5,9455
ASK,1996,4,21,10,35,0,462-91,P,co2,CCGG,365.23,0.12,...,S1,1996,10,22,17,47,0,23.2625,5.6322,2715,2710,5,9456
ASK,1996,5,5,11,55,0,1453-91,P,co2,CCGG,365.18,0.12,...,S1,1996,10,22,17,44,0,23.2625,5.6322,2715,2710,5,9457
ASK,1996,5,5,11,55,0,1454-91,P,co2,CCGG,365.04,0.12,...,S1,1996,10,22,17,45,0,23.2625,5.6322,2715,2710,5,9458
ASK,1996,6,24,10,45,0,447-91,P,co2,CCGG,363.94,0.12,...,S1,1996,10,18,17,40,0,23.2625,5.6322,2715,2710,5,9459
ASK,1996,6,24,10,45,0,448-91,P,co2,CCGG,363.95,0.12,...,S1,1996,10,18,17,41,0,23.2625,5.6322,2715,2710,5,9460
ASK,1996,7,8,9,0,0,1745-91,P,co2,CCGG,363.21,0.12,...,S1,1996,10,18,17,38,0,23.2625,5.6322,2715,2710,5,9461
ASK,1996,7,8,9,0,0,1746-91,P,co2,CCGG,363.29,0.12,...,S1,1996,10,18,17,39,0,23.2625,5.6322,2715,2710,5,9462
ASK,1996,7,23,16,30,0,693-91,P,co2,CCGG,360.49,0.12,...,S1,1996,11,1,15,28,0,23.2625,5.6322,2715,2710,5,9463
ASK,1996,7,23,16,30,0,694-91,P,co2,CCGG,360.43,0.12,...,S1,1996,11,1,15,30,0,23.2625,5.6322,2715,2710,5,9464
ASK,1996,8,6,10,45,0,149-91,P,co2,CCGG,356.8,0.12,-..,S1,1996,11,1,15,24,0,23.2625,5.6322,2715,2710,5,9465
