#,number_of_header_lines:,69,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,ESRL,GMD,DATA,****************,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,made,freely,available,to,the,public,and,the,,,,,,,,,,,,,,
#,comment:,scientific,community,in,the,belief,that,their,wide,dissemination,,,,,,,,,,,,,,,,
#,comment:,will,lead,to,greater,understanding,and,new,scientific,insights.,,,,,,,,,,,,,,,,
#,comment:,The,availability,of,these,data,does,not,constitute,publication,,,,,,,,,,,,,,,,
#,comment:,of,the,data.,NOAA,relies,on,the,ethics,and,integrity,of,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,GML,receives,fair,credit,for,their,work.,If,the,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,potential,use,in,a,publication,or,"presentation,",,,,,,,,,,,,,,,
#,comment:,GML,should,be,informed,at,the,outset,of,the,nature,of,this,work.,,,,,,,,,,,,
#,comment:,If,the,GML,data,are,essential,to,the,"work,",or,if,an,important,,,,,,,,,,,,
#,comment:,result,or,conclusion,depends,on,the,GML,"data,",co-authorship,,,,,,,,,,,,,,,,
#,comment:,may,be,appropriate.,This,should,be,discussed,at,an,early,stage,in,,,,,,,,,,,,,
#,comment:,the,work.,Manuscripts,using,the,GML,data,should,be,sent,to,GML,,,,,,,,,,,,,
#,comment:,for,review,before,they,are,submitted,for,publication,so,we,can,,,,,,,,,,,,,,
#,comment:,ensure,that,the,quality,and,limitations,of,the,data,are,accurately,,,,,,,,,,,,,,
#,comment:,represented.,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Every,effort,is,made,to,produce,the,most,accurate,and,precise,,,,,,,,,,,,,,
#,comment:,measurements,possible.,"However,",we,reserve,the,right,to,make,,,,,,,,,,,,,,,,
#,comment:,corrections,to,the,data,based,on,recalibration,of,standard,gases,,,,,,,,,,,,,,,
#,comment:,or,for,other,reasons,deemed,scientifically,justified.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,We,are,not,responsible,for,results,and,conclusions,based,on,use,,,,,,,,,,,,,,
#,comment:,of,these,data,without,regard,to,this,warning.,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,contact_parameter:,CO2,CCGG,(Individual,Flasks),,,,,,,,,,,,,,,,,,,,,
#,contact_name:,Ed,Dlugokencky,,,,,,,,,,,,,,,,,,,,,,,
#,contact_telephone:,-303,497-6228,,,,,,,,,,,,,,,,,,,,,,,
#,contact_email:,Ed.Dlugokencky@noaa.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,COLLABORATORS,***************,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,NOAA,thanks,the,following,collaborators,without,,,,,,,,,,,,,,,,,,,
#,comment:,whom,these,measurements,would,not,be,possible.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,Instituto,Nacional,de,Meteorologia,e,Geofisica,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,[INMG],,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,RECIPROCITY,AGREEMENT,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Use,of,these,data,implies,an,agreement,to,reciprocate.,,,,,,,,,,,,,,,,
#,comment:,Laboratories,making,similar,measurements,agree,to,make,their,,,,,,,,,,,,,,,,,
#,comment:,own,data,available,to,the,general,public,and,to,the,scientific,,,,,,,,,,,,,,
#,comment:,community,in,an,equally,complete,and,easily,accessible,form.,,,,,,,,,,,,,,,,
#,comment:,Modelers,are,encouraged,to,make,available,to,the,"community,",,,,,,,,,,,,,,,,
#,comment:,upon,"request,",their,own,tools,used,in,the,interpretation,,,,,,,,,,,,,,,,
#,comment:,of,the,GML,"data,",namely,well,documented,model,"code,",transport,,,,,,,,,,,,,,,
#,comment:,"fields,",and,additional,information,necessary,for,other,,,,,,,,,,,,,,,,,,
#,comment:,scientists,to,repeat,the,work,and,to,run,modified,versions.,,,,,,,,,,,,,,,
#,comment:,Model,availability,includes,collaborative,support,for,new,,,,,,,,,,,,,,,,,,
#,comment:,users,of,the,models.,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DESCRIPTION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,description_site-code:,azr,,,,,,,,,,,,,,,,,,,,,,,,
#,description_project-abbr:,ccg_surface,,,,,,,,,,,,,,,,,,,,,,,,
#,description_strategy-abbr:,flask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_sample-constraints:,"me:-H~date:1900-01-01,2019-12-31",,,,,,,,,,,,,,,,,,,,,,,,
#,description_creation-time:,7/24/20,10:59:11,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DOCUMENTATION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Please,refer,to,the,species-specific,README,file,in,the,,,,,,,,,,,,,,,,
#,comment:,appropriate,directory,folder,at,ftp://aftp.cmdl.noaa.gov/data/trace_gases/.,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,data_fields:,,,,,,,,,,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
AZR,1995,1,3,15,55,0,1299-91,P,co2,CCGG,362.34,0.12,...,S1,1995,2,28,9,16,0,38.77,-27.38,24,19,5,13360
AZR,1995,1,3,15,55,0,1300-91,P,co2,CCGG,362.21,0.12,...,S1,1995,2,28,9,18,0,38.77,-27.38,24,19,5,13361
AZR,1995,1,10,16,10,0,1253-91,P,co2,CCGG,358.62,0.12,...,S1,1995,2,24,8,20,0,38.77,-27.38,24,19,5,13362
AZR,1995,1,10,16,10,0,1254-91,P,co2,CCGG,358.81,0.12,...,S1,1995,2,24,8,22,0,38.77,-27.38,24,19,5,13363
AZR,1995,1,17,11,17,0,1303-91,P,co2,CCGG,359.52,0.12,-..,S1,1995,2,24,8,24,0,38.77,-27.38,24,19,5,13364
AZR,1995,1,17,11,17,0,1304-91,P,co2,CCGG,361.29,0.12,+..,S1,1995,2,24,8,26,0,38.77,-27.38,24,19,5,13365
AZR,1995,1,24,15,55,0,1249-91,P,co2,CCGG,360.71,0.12,...,S1,1995,2,28,9,12,0,38.77,-27.38,24,19,5,13366
AZR,1995,1,24,15,55,0,1250-91,P,co2,CCGG,360.75,0.12,...,S1,1995,2,28,9,14,0,38.77,-27.38,24,19,5,13367
AZR,1995,2,1,11,45,0,1251-91,P,co2,CCGG,361.78,0.12,...,S1,1995,2,28,9,20,0,38.77,-27.38,24,19,5,13368
AZR,1995,2,1,11,45,0,1252-91,P,co2,CCGG,361.7,0.12,...,S1,1995,2,28,9,22,0,38.77,-27.38,24,19,5,13369
AZR,1995,2,10,16,12,0,255-91,P,co2,CCGG,360.87,0.12,...,S1,1995,6,6,9,28,0,38.77,-27.38,24,19,5,13370
AZR,1995,2,10,16,12,0,256-91,P,co2,CCGG,361.19,0.12,...,S1,1995,6,6,9,30,0,38.77,-27.38,24,19,5,13371
AZR,1995,2,15,11,42,0,719-91,P,co2,CCGG,362.11,0.12,...,S1,1995,6,6,9,24,0,38.77,-27.38,24,19,5,13372
AZR,1995,2,15,11,42,0,720-91,P,co2,CCGG,361.82,0.12,...,S1,1995,6,6,9,26,0,38.77,-27.38,24,19,5,13373
AZR,1995,2,21,11,34,0,701-91,P,co2,CCGG,362.77,0.12,...,S1,1995,6,6,9,32,0,38.77,-27.38,24,19,5,13374
AZR,1995,2,21,11,34,0,702-91,P,co2,CCGG,362.9,0.12,...,S1,1995,6,6,9,34,0,38.77,-27.38,24,19,5,13375
AZR,1995,3,1,16,25,0,705-91,P,co2,CCGG,363.11,0.12,...,S1,1995,6,6,8,12,0,38.77,-27.38,24,19,5,13376
AZR,1995,3,1,16,25,0,706-91,P,co2,CCGG,363.09,0.12,...,S1,1995,6,6,8,14,0,38.77,-27.38,24,19,5,13377
AZR,1995,3,7,11,46,0,493-91,P,co2,CCGG,362.97,0.12,...,S1,1995,7,12,10,16,0,38.77,-27.38,24,19,5,13378
AZR,1995,3,7,11,46,0,494-91,P,co2,CCGG,363.1,0.12,...,S1,1995,7,12,10,18,0,38.77,-27.38,24,19,5,13379
AZR,1995,3,14,11,47,0,715-91,P,co2,CCGG,361.61,0.12,...,S1,1995,7,12,10,20,0,38.77,-27.38,24,19,5,13380
AZR,1995,3,14,11,47,0,716-91,P,co2,CCGG,361.73,0.12,...,S1,1995,7,12,10,22,0,38.77,-27.38,24,19,5,13381
AZR,1995,5,16,10,10,0,103-91,P,co2,CCGG,363.48,0.12,...,S1,1995,7,12,8,40,0,38.77,-27.38,24,19,5,13382
AZR,1995,5,16,10,10,0,104-91,P,co2,CCGG,363.6,0.12,...,S1,1995,7,12,8,42,0,38.77,-27.38,24,19,5,13383
AZR,1995,5,24,10,32,0,171-91,P,co2,CCGG,363.51,0.12,...,S1,1995,7,12,8,48,0,38.77,-27.38,24,19,5,13384
AZR,1995,5,24,10,32,0,172-91,P,co2,CCGG,363.49,0.12,...,S1,1995,7,12,8,50,0,38.77,-27.38,24,19,5,13385
AZR,1995,5,30,11,5,0,637-91,P,co2,CCGG,362.05,0.12,...,S1,1995,7,12,11,40,0,38.77,-27.38,24,19,5,13386
AZR,1995,5,30,11,5,0,638-91,P,co2,CCGG,362.1,0.12,...,S1,1995,7,12,11,42,0,38.77,-27.38,24,19,5,13387
AZR,1995,6,8,10,50,0,639-91,P,co2,CCGG,362.91,0.12,...,S1,1995,7,18,9,52,0,38.77,-27.38,24,19,5,13388
AZR,1995,6,8,10,50,0,640-91,P,co2,CCGG,362.87,0.12,...,S1,1995,7,18,9,54,0,38.77,-27.38,24,19,5,13389
AZR,1995,6,14,10,25,0,591-91,P,co2,CCGG,362.11,0.12,...,S1,1995,7,19,9,16,0,38.77,-27.38,24,19,5,13390
AZR,1995,6,14,10,25,0,592-91,P,co2,CCGG,-999.99,-999.99,*..,S1,1995,7,19,9,18,0,38.77,-27.38,24,19,5,13391
AZR,1995,6,14,10,25,0,592-91,P,co2,CCGG,362.12,0.12,...,S1,1995,7,19,10,22,0,38.77,-27.38,24,19,5,13391
AZR,1995,6,20,10,43,0,1171-91,P,co2,CCGG,361.88,0.12,...,S1,1995,7,19,9,24,0,38.77,-27.38,24,19,5,13392
AZR,1995,6,20,10,43,0,1172-91,P,co2,CCGG,361.83,0.12,...,S1,1995,7,19,9,26,0,38.77,-27.38,24,19,5,13393
AZR,1995,6,28,10,25,0,305-91,P,co2,CCGG,360.83,0.12,...,S1,1995,8,30,9,12,0,38.77,-27.38,24,19,5,13394
AZR,1995,6,28,10,25,0,306-91,P,co2,CCGG,360.64,0.12,...,S1,1995,8,30,9,14,0,38.77,-27.38,24,19,5,13395
AZR,1995,7,4,10,35,0,477-91,P,co2,CCGG,358.87,0.12,...,S1,1995,8,24,11,52,0,38.77,-27.38,24,19,5,13396
AZR,1995,7,4,10,35,0,478-91,P,co2,CCGG,358.93,0.12,...,S1,1995,8,24,11,54,0,38.77,-27.38,24,19,5,13397
AZR,1995,7,19,15,40,0,463-91,P,co2,CCGG,356.83,0.12,...,S1,1995,8,24,11,32,0,38.77,-27.38,24,19,5,13398
AZR,1995,7,19,15,40,0,464-91,P,co2,CCGG,356.92,0.12,...,S1,1995,8,24,11,34,0,38.77,-27.38,24,19,5,13399
