#,number_of_header_lines:,70,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,ESRL,GMD,DATA,****************,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,made,freely,available,to,the,public,and,the,,,,,,,,,,,,,,
#,comment:,scientific,community,in,the,belief,that,their,wide,dissemination,,,,,,,,,,,,,,,,
#,comment:,will,lead,to,greater,understanding,and,new,scientific,insights.,,,,,,,,,,,,,,,,
#,comment:,The,availability,of,these,data,does,not,constitute,publication,,,,,,,,,,,,,,,,
#,comment:,of,the,data.,NOAA,relies,on,the,ethics,and,integrity,of,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,ESRL,receives,fair,credit,for,their,work.,If,the,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,potential,use,in,a,publication,or,"presentation,",,,,,,,,,,,,,,,
#,comment:,ESRL,should,be,informed,at,the,outset,of,the,nature,of,this,work.,,,,,,,,,,,,
#,comment:,If,the,ESRL,data,are,essential,to,the,"work,",or,if,an,important,,,,,,,,,,,,
#,comment:,result,or,conclusion,depends,on,the,ESRL,"data,",co-authorship,,,,,,,,,,,,,,,,
#,comment:,may,be,appropriate.,This,should,be,discussed,at,an,early,stage,in,,,,,,,,,,,,,
#,comment:,the,work.,Manuscripts,using,the,ESRL,data,should,be,sent,to,ESRL,,,,,,,,,,,,,
#,comment:,for,review,before,they,are,submitted,for,publication,so,we,can,,,,,,,,,,,,,,
#,comment:,ensure,that,the,quality,and,limitations,of,the,data,are,accurately,,,,,,,,,,,,,,
#,comment:,represented.,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Every,effort,is,made,to,produce,the,most,accurate,and,precise,,,,,,,,,,,,,,
#,comment:,measurements,possible.,"However,",we,reserve,the,right,to,make,,,,,,,,,,,,,,,,
#,comment:,corrections,to,the,data,based,on,recalibration,of,standard,gases,,,,,,,,,,,,,,,
#,comment:,or,for,other,reasons,deemed,scientifically,justified.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,We,are,not,responsible,for,results,and,conclusions,based,on,use,,,,,,,,,,,,,,
#,comment:,of,these,data,without,regard,to,this,warning.,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,contact_parameter:,CO2,CCGG,(Individual,Flasks),,,,,,,,,,,,,,,,,,,,,
#,contact_name:,Ed,Dlugokencky,,,,,,,,,,,,,,,,,,,,,,,
#,contact_telephone:,-303,497-6228,,,,,,,,,,,,,,,,,,,,,,,
#,contact_email:,Ed.Dlugokencky@noaa.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,COLLABORATORS,***************,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,NOAA,thanks,the,following,collaborators,without,,,,,,,,,,,,,,,,,,,
#,comment:,whom,these,measurements,would,not,be,possible.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,NOAA,Earth,System,Research,"Laboratory,",Global,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,Monitoring,Division,[NOAA,ESRL,GMD],,,,,,,,,,,,,,,,,,,,
#,collaborator_url:,http://www.esrl.noaa.gov/gmd,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,RECIPROCITY,AGREEMENT,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Use,of,these,data,implies,an,agreement,to,reciprocate.,,,,,,,,,,,,,,,,
#,comment:,Laboratories,making,similar,measurements,agree,to,make,their,,,,,,,,,,,,,,,,,
#,comment:,own,data,available,to,the,general,public,and,to,the,scientific,,,,,,,,,,,,,,
#,comment:,community,in,an,equally,complete,and,easily,accessible,form.,,,,,,,,,,,,,,,,
#,comment:,Modelers,are,encouraged,to,make,available,to,the,"community,",,,,,,,,,,,,,,,,
#,comment:,upon,"request,",their,own,tools,used,in,the,interpretation,,,,,,,,,,,,,,,,
#,comment:,of,the,ESRL,"data,",namely,well,documented,model,"code,",transport,,,,,,,,,,,,,,,
#,comment:,"fields,",and,additional,information,necessary,for,other,,,,,,,,,,,,,,,,,,
#,comment:,scientists,to,repeat,the,work,and,to,run,modified,versions.,,,,,,,,,,,,,,,
#,comment:,Model,availability,includes,collaborative,support,for,new,,,,,,,,,,,,,,,,,,
#,comment:,users,of,the,models.,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DESCRIPTION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,description_site-code:,brw,,,,,,,,,,,,,,,,,,,,,,,,
#,description_project-abbr:,ccg_surface,,,,,,,,,,,,,,,,,,,,,,,,
#,description_strategy-abbr:,flask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_sample-constraints:,"date:1900-01-01,2018-12-31",,,,,,,,,,,,,,,,,,,,,,,,
#,description_creation-time:,7/16/19,13:36:17,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DOCUMENTATION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Please,refer,to,the,species-specific,README,file,in,the,,,,,,,,,,,,,,,,
#,comment:,appropriate,directory,folder,at,ftp://aftp.cmdl.noaa.gov/data/trace_gases/.,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
BRW,1971,4,25,20,18,0,105-71,N,co2,CCGG,338.25,0.53,N..,L1,1971,5,3,8,42,0,71.32,-156.6,13,11,2,26094
BRW,1971,4,25,20,18,0,106-71,N,co2,CCGG,337.46,0.53,N..,L1,1971,5,3,8,44,0,71.32,-156.6,13,11,2,26095
BRW,1971,5,3,23,46,0,487-71,N,co2,CCGG,330.99,0.53,..L,L1,1971,6,7,8,26,0,71.32,-156.6,13,11,2,26096
BRW,1971,5,3,23,46,0,488-71,N,co2,CCGG,333.13,0.53,..H,L1,1971,6,7,8,24,0,71.32,-156.6,13,11,2,26097
BRW,1971,5,9,23,46,0,100-71,N,co2,CCGG,331.44,0.53,...,L1,1971,6,7,8,30,0,71.32,-156.6,13,11,2,26099
BRW,1971,5,9,23,46,0,99-71,N,co2,CCGG,331.61,0.53,...,L1,1971,6,7,8,28,0,71.32,-156.6,13,11,2,26098
BRW,1971,5,18,0,12,0,103-71,N,co2,CCGG,332.63,0.53,...,L1,1971,6,7,8,40,0,71.32,-156.6,13,11,2,26100
BRW,1971,5,18,0,12,0,104-71,N,co2,CCGG,332.47,0.53,...,L1,1971,6,7,8,42,0,71.32,-156.6,13,11,2,26101
BRW,1971,5,24,23,47,0,109-71,N,co2,CCGG,331.99,0.53,...,L1,1971,6,7,8,44,0,71.32,-156.6,13,11,2,26102
BRW,1971,5,24,23,47,0,110-71,N,co2,CCGG,332.13,0.53,...,L1,1971,6,7,8,46,0,71.32,-156.6,13,11,2,26103
BRW,1971,5,31,23,50,0,101-71,N,co2,CCGG,332.33,0.53,...,L1,1971,6,7,8,58,0,71.32,-156.6,13,11,2,26104
BRW,1971,5,31,23,50,0,102-71,N,co2,CCGG,332.39,0.53,...,L1,1971,6,7,8,56,0,71.32,-156.6,13,11,2,26105
BRW,1971,6,7,23,51,0,111-71,N,co2,CCGG,331.39,0.53,...,L1,1971,6,10,9,50,0,71.32,-156.6,13,11,2,26106
BRW,1971,6,7,23,51,0,112-71,N,co2,CCGG,331.55,0.53,...,L1,1971,6,10,10,0,0,71.32,-156.6,13,11,2,26107
BRW,1971,6,15,0,14,0,473-71,N,co2,CCGG,331.1,0.53,...,L1,1971,6,17,8,8,0,71.32,-156.6,13,11,2,26108
BRW,1971,6,15,0,14,0,474-71,N,co2,CCGG,330.75,0.53,...,L1,1971,6,17,8,10,0,71.32,-156.6,13,11,2,26109
BRW,1971,6,22,0,9,0,405-71,N,co2,CCGG,330.57,0.53,..H,L1,1971,7,27,9,28,0,71.32,-156.6,13,11,2,26110
BRW,1971,6,22,0,9,0,406-71,N,co2,CCGG,329.1,0.53,..L,L1,1971,7,27,9,30,0,71.32,-156.6,13,11,2,26111
BRW,1971,6,29,0,26,0,429-71,N,co2,CCGG,329.65,0.53,...,L1,1971,7,27,9,32,0,71.32,-156.6,13,11,2,26112
BRW,1971,6,29,0,26,0,430-71,N,co2,CCGG,329.11,0.53,...,L1,1971,7,27,9,34,0,71.32,-156.6,13,11,2,26113
BRW,1971,7,6,0,9,0,495-71,N,co2,CCGG,326.65,0.53,...,L1,1971,7,27,9,44,0,71.32,-156.6,13,11,2,26114
BRW,1971,7,6,0,9,0,496-71,N,co2,CCGG,326.68,0.53,...,L1,1971,7,27,9,46,0,71.32,-156.6,13,11,2,26115
BRW,1971,7,13,0,21,0,497-71,N,co2,CCGG,325.7,0.53,..H,L1,1971,7,27,9,48,0,71.32,-156.6,13,11,2,26116
BRW,1971,7,13,0,21,0,498-71,N,co2,CCGG,323.75,0.53,..L,L1,1971,7,27,9,50,0,71.32,-156.6,13,11,2,26117
BRW,1971,7,19,23,50,0,425-71,N,co2,CCGG,319.81,0.53,N..,L1,1971,7,27,10,0,0,71.32,-156.6,13,11,2,26118
BRW,1971,7,27,0,35,0,453-71,N,co2,CCGG,320.01,0.53,...,L1,1971,8,10,8,12,0,71.32,-156.6,13,11,2,26119
BRW,1971,7,27,0,35,0,458-71,N,co2,CCGG,319.21,0.53,...,L1,1971,8,10,8,14,0,71.32,-156.6,13,11,2,26120
BRW,1971,8,3,0,30,0,459-71,N,co2,CCGG,319.6,0.53,...,L1,1971,8,10,8,24,0,71.32,-156.6,13,11,2,26121
BRW,1971,8,3,0,30,0,460-71,N,co2,CCGG,319.6,0.53,...,L1,1971,8,10,8,26,0,71.32,-156.6,13,11,2,26122
BRW,1971,8,10,0,56,0,55-71,N,co2,CCGG,314.18,0.53,N..,L1,1971,12,15,9,16,0,71.32,-156.6,13,11,2,26123
BRW,1971,8,10,0,56,0,56-71,N,co2,CCGG,313.5,0.53,N..,L1,1971,12,15,9,18,0,71.32,-156.6,13,11,2,26124
BRW,1971,8,17,0,34,0,45-71,N,co2,CCGG,313.37,0.53,N..,L1,1971,12,15,9,34,0,71.32,-156.6,13,11,2,26125
BRW,1971,8,17,0,34,0,46-71,N,co2,CCGG,314.31,0.53,N..,L1,1971,12,15,9,32,0,71.32,-156.6,13,11,2,26126
BRW,1971,8,24,0,36,0,71-71,N,co2,CCGG,311.92,0.53,N..,L1,1971,12,15,9,44,0,71.32,-156.6,13,11,2,26127
BRW,1971,8,24,0,36,0,72-71,N,co2,CCGG,312.7,0.53,N..,L1,1971,12,15,9,46,0,71.32,-156.6,13,11,2,26128
BRW,1971,8,31,0,32,0,97-71,N,co2,CCGG,312.96,0.53,N..,L1,1971,12,15,9,48,0,71.32,-156.6,13,11,2,26129
BRW,1971,8,31,0,32,0,98-71,N,co2,CCGG,312.16,0.53,N..,L1,1971,12,15,9,50,0,71.32,-156.6,13,11,2,26130
BRW,1971,9,7,0,50,0,67-71,N,co2,CCGG,311.86,0.53,N..,L1,1971,12,15,9,12,0,71.32,-156.6,13,11,2,26131
BRW,1971,9,7,0,50,0,68-71,N,co2,CCGG,311.77,0.53,N..,L1,1971,12,15,9,14,0,71.32,-156.6,13,11,2,26132
BRW,1971,9,14,1,50,0,69-71,N,co2,CCGG,318.31,0.53,..L,L1,1971,12,15,8,28,0,71.32,-156.6,13,11,2,26133
BRW,1971,9,14,1,50,0,70-71,N,co2,CCGG,320.98,0.53,+..,L1,1971,12,15,8,30,0,71.32,-156.6,13,11,2,26134
BRW,1971,9,21,1,2,0,81-71,N,co2,CCGG,319.28,0.53,...,L1,1971,12,15,9,28,0,71.32,-156.6,13,11,2,26135
