#,number_of_header_lines:,69,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,ESRL,GMD,DATA,****************,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,made,freely,available,to,the,public,and,the,,,,,,,,,,,,,,
#,comment:,scientific,community,in,the,belief,that,their,wide,dissemination,,,,,,,,,,,,,,,,
#,comment:,will,lead,to,greater,understanding,and,new,scientific,insights.,,,,,,,,,,,,,,,,
#,comment:,The,availability,of,these,data,does,not,constitute,publication,,,,,,,,,,,,,,,,
#,comment:,of,the,data.,NOAA,relies,on,the,ethics,and,integrity,of,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,GML,receives,fair,credit,for,their,work.,If,the,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,potential,use,in,a,publication,or,"presentation,",,,,,,,,,,,,,,,
#,comment:,GML,should,be,informed,at,the,outset,of,the,nature,of,this,work.,,,,,,,,,,,,
#,comment:,If,the,GML,data,are,essential,to,the,"work,",or,if,an,important,,,,,,,,,,,,
#,comment:,result,or,conclusion,depends,on,the,GML,"data,",co-authorship,,,,,,,,,,,,,,,,
#,comment:,may,be,appropriate.,This,should,be,discussed,at,an,early,stage,in,,,,,,,,,,,,,
#,comment:,the,work.,Manuscripts,using,the,GML,data,should,be,sent,to,GML,,,,,,,,,,,,,
#,comment:,for,review,before,they,are,submitted,for,publication,so,we,can,,,,,,,,,,,,,,
#,comment:,ensure,that,the,quality,and,limitations,of,the,data,are,accurately,,,,,,,,,,,,,,
#,comment:,represented.,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Every,effort,is,made,to,produce,the,most,accurate,and,precise,,,,,,,,,,,,,,
#,comment:,measurements,possible.,"However,",we,reserve,the,right,to,make,,,,,,,,,,,,,,,,
#,comment:,corrections,to,the,data,based,on,recalibration,of,standard,gases,,,,,,,,,,,,,,,
#,comment:,or,for,other,reasons,deemed,scientifically,justified.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,We,are,not,responsible,for,results,and,conclusions,based,on,use,,,,,,,,,,,,,,
#,comment:,of,these,data,without,regard,to,this,warning.,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,contact_parameter:,CO2,CCGG,(Individual,Flasks),,,,,,,,,,,,,,,,,,,,,
#,contact_name:,Ed,Dlugokencky,,,,,,,,,,,,,,,,,,,,,,,
#,contact_telephone:,-303,497-6228,,,,,,,,,,,,,,,,,,,,,,,
#,contact_email:,Ed.Dlugokencky@noaa.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,COLLABORATORS,***************,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,NOAA,thanks,the,following,collaborators,without,,,,,,,,,,,,,,,,,,,
#,comment:,whom,these,measurements,would,not,be,possible.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,U.S.,Fish,and,Wildlife,Service,[USFWS],,,,,,,,,,,,,,,,,,,
#,collaborator_url:,http://midway.fws.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,RECIPROCITY,AGREEMENT,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Use,of,these,data,implies,an,agreement,to,reciprocate.,,,,,,,,,,,,,,,,
#,comment:,Laboratories,making,similar,measurements,agree,to,make,their,,,,,,,,,,,,,,,,,
#,comment:,own,data,available,to,the,general,public,and,to,the,scientific,,,,,,,,,,,,,,
#,comment:,community,in,an,equally,complete,and,easily,accessible,form.,,,,,,,,,,,,,,,,
#,comment:,Modelers,are,encouraged,to,make,available,to,the,"community,",,,,,,,,,,,,,,,,
#,comment:,upon,"request,",their,own,tools,used,in,the,interpretation,,,,,,,,,,,,,,,,
#,comment:,of,the,GML,"data,",namely,well,documented,model,"code,",transport,,,,,,,,,,,,,,,
#,comment:,"fields,",and,additional,information,necessary,for,other,,,,,,,,,,,,,,,,,,
#,comment:,scientists,to,repeat,the,work,and,to,run,modified,versions.,,,,,,,,,,,,,,,
#,comment:,Model,availability,includes,collaborative,support,for,new,,,,,,,,,,,,,,,,,,
#,comment:,users,of,the,models.,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DESCRIPTION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,description_site-code:,mid,,,,,,,,,,,,,,,,,,,,,,,,
#,description_project-abbr:,ccg_surface,,,,,,,,,,,,,,,,,,,,,,,,
#,description_strategy-abbr:,flask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_sample-constraints:,"me:-H~date:1900-01-01,2019-12-31",,,,,,,,,,,,,,,,,,,,,,,,
#,description_creation-time:,7/24/20,11:01:40,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DOCUMENTATION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Please,refer,to,the,species-specific,README,file,in,the,,,,,,,,,,,,,,,,
#,comment:,appropriate,directory,folder,at,ftp://aftp.cmdl.noaa.gov/data/trace_gases/.,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,data_fields:,,,,,,,,,,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
MID,1985,5,3,4,41,0,909-83,P,co2,CCGG,349.04,0.18,...,U3,1985,5,31,14,8,0,28.22,-177.37,4,3.7,0.3,76712
MID,1985,5,3,4,41,0,910-83,P,co2,CCGG,348.98,0.18,...,U3,1985,5,31,14,10,0,28.22,-177.37,4,3.7,0.3,76713
MID,1985,5,9,1,27,0,733-82,P,co2,CCGG,349.64,0.18,...,U3,1985,5,31,20,8,0,28.22,-177.37,4,3.7,0.3,76714
MID,1985,5,9,1,27,0,734-81,P,co2,CCGG,349.45,0.18,...,U3,1985,5,31,20,10,0,28.22,-177.37,4,3.7,0.3,76715
MID,1985,5,13,5,47,0,1075-82,P,co2,CCGG,350.51,0.18,-..,U3,1985,6,18,11,24,0,28.22,-177.37,4,3.7,0.3,76716
MID,1985,5,13,5,47,0,1076-82,P,co2,CCGG,351.05,0.18,+..,U3,1985,6,18,11,26,0,28.22,-177.37,4,3.7,0.3,76717
MID,1985,5,18,3,52,0,243-83,P,co2,CCGG,351.07,0.18,...,U3,1985,6,18,11,8,0,28.22,-177.37,4,3.7,0.3,76718
MID,1985,5,18,3,52,0,244-83,P,co2,CCGG,351.27,0.18,...,U3,1985,6,18,11,10,0,28.22,-177.37,4,3.7,0.3,76719
MID,1985,5,22,5,28,0,1459-82,P,co2,CCGG,350.02,0.18,...,U3,1985,6,18,10,36,0,28.22,-177.37,4,3.7,0.3,76720
MID,1985,5,22,5,28,0,1460-82,P,co2,CCGG,350.2,0.18,...,U3,1985,6,18,10,38,0,28.22,-177.37,4,3.7,0.3,76721
MID,1985,5,29,5,28,0,489-82,P,co2,CCGG,348.94,0.18,-..,U3,1985,6,19,8,28,0,28.22,-177.37,4,3.7,0.3,76722
MID,1985,5,29,5,28,0,490-82,P,co2,CCGG,353.06,0.18,+..,U3,1985,6,19,8,30,0,28.22,-177.37,4,3.7,0.3,76723
MID,1985,8,24,2,0,0,1601-82,P,co2,CCGG,344.44,0.18,...,U3,1985,9,13,10,48,0,28.22,-177.37,4,3.7,0.3,76724
MID,1985,8,24,2,0,0,1602-82,P,co2,CCGG,344.21,0.18,...,U3,1985,9,13,10,50,0,28.22,-177.37,4,3.7,0.3,76725
MID,1985,8,28,3,0,0,387-82,P,co2,CCGG,343.4,0.18,...,U3,1985,9,13,10,18,0,28.22,-177.37,4,3.7,0.3,76726
MID,1985,8,28,3,0,0,388-82,P,co2,CCGG,343.56,0.18,...,U3,1985,9,13,10,22,0,28.22,-177.37,4,3.7,0.3,76727
MID,1985,8,31,3,0,0,225-83,P,co2,CCGG,345.2,0.18,...,U3,1985,9,19,8,56,0,28.22,-177.37,4,3.7,0.3,76728
MID,1985,8,31,3,0,0,226-83,P,co2,CCGG,345.01,0.18,...,U3,1985,9,19,8,58,0,28.22,-177.37,4,3.7,0.3,76729
MID,1985,9,4,4,0,0,895-83,P,co2,CCGG,343.5,0.18,...,U3,1985,9,19,9,0,0,28.22,-177.37,4,3.7,0.3,76730
MID,1985,9,4,4,0,0,896-83,P,co2,CCGG,343.44,0.18,...,U3,1985,9,19,9,2,0,28.22,-177.37,4,3.7,0.3,76731
MID,1985,9,7,2,45,0,623-82,P,co2,CCGG,341.37,0.18,+..,U3,1985,10,1,8,56,0,28.22,-177.37,4,3.7,0.3,76732
MID,1985,9,7,2,45,0,624-82,P,co2,CCGG,340.35,0.18,-..,U3,1985,10,1,8,58,0,28.22,-177.37,4,3.7,0.3,76733
MID,1985,9,11,3,45,0,685-83,P,co2,CCGG,342.67,0.18,+..,U3,1985,9,29,10,16,0,28.22,-177.37,4,3.7,0.3,76734
MID,1985,9,11,3,45,0,686-83,P,co2,CCGG,341.23,0.18,-..,U3,1985,9,29,10,18,0,28.22,-177.37,4,3.7,0.3,76735
MID,1985,9,14,3,10,0,695-83,P,co2,CCGG,342.85,0.18,+..,U3,1985,10,3,9,44,0,28.22,-177.37,4,3.7,0.3,76736
MID,1985,9,14,3,10,0,696-83,P,co2,CCGG,341.74,0.18,-..,U3,1985,10,3,9,46,0,28.22,-177.37,4,3.7,0.3,76737
MID,1985,9,18,3,0,0,1577-82,P,co2,CCGG,340.74,0.18,...,U3,1985,10,3,10,20,0,28.22,-177.37,4,3.7,0.3,76738
MID,1985,9,18,3,0,0,1578-82,P,co2,CCGG,340.92,0.18,...,U3,1985,10,3,10,22,0,28.22,-177.37,4,3.7,0.3,76739
MID,1985,9,21,3,25,0,Jan-83,P,co2,CCGG,343.38,0.18,+..,U3,1985,10,15,9,44,0,28.22,-177.37,4,3.7,0.3,76740
MID,1985,9,21,3,25,0,Feb-83,P,co2,CCGG,342.6,0.18,-..,U3,1985,10,15,9,46,0,28.22,-177.37,4,3.7,0.3,76741
MID,1985,9,25,4,0,0,1319-82,P,co2,CCGG,341.02,0.18,...,U3,1985,10,15,10,0,0,28.22,-177.37,4,3.7,0.3,76742
MID,1985,9,25,4,0,0,1320-82,P,co2,CCGG,340.85,0.18,...,U3,1985,10,15,10,2,0,28.22,-177.37,4,3.7,0.3,76743
MID,1985,9,28,3,0,0,1563-82,P,co2,CCGG,342.12,0.18,...,U3,1985,10,15,10,20,0,28.22,-177.37,4,3.7,0.3,76744
MID,1985,9,28,3,0,0,1564-82,P,co2,CCGG,341.69,0.18,...,U3,1985,10,15,10,22,0,28.22,-177.37,4,3.7,0.3,76745
MID,1985,10,2,5,0,0,209-83,P,co2,CCGG,344.16,0.18,...,U3,1985,10,15,8,24,0,28.22,-177.37,4,3.7,0.3,76746
MID,1985,10,2,5,0,0,210-83,P,co2,CCGG,344.17,0.18,...,U3,1985,10,15,8,26,0,28.22,-177.37,4,3.7,0.3,76747
MID,1985,10,5,3,0,0,329-83,P,co2,CCGG,343.41,0.18,+..,U3,1985,10,23,11,36,0,28.22,-177.37,4,3.7,0.3,76748
MID,1985,10,5,3,0,0,330-83,P,co2,CCGG,342.87,0.18,-..,U3,1985,10,23,11,38,0,28.22,-177.37,4,3.7,0.3,76749
MID,1985,10,9,3,0,0,443-83,P,co2,CCGG,342.74,0.18,...,U3,1985,10,25,9,28,0,28.22,-177.37,4,3.7,0.3,76750
