#,number_of_header_lines:,69,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,ESRL,GMD,DATA,****************,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,made,freely,available,to,the,public,and,the,,,,,,,,,,,,,,
#,comment:,scientific,community,in,the,belief,that,their,wide,dissemination,,,,,,,,,,,,,,,,
#,comment:,will,lead,to,greater,understanding,and,new,scientific,insights.,,,,,,,,,,,,,,,,
#,comment:,The,availability,of,these,data,does,not,constitute,publication,,,,,,,,,,,,,,,,
#,comment:,of,the,data.,NOAA,relies,on,the,ethics,and,integrity,of,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,GML,receives,fair,credit,for,their,work.,If,the,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,potential,use,in,a,publication,or,presentation,,,,,,,,,,,,,,,
#,comment:,GML,should,be,informed,at,the,outset,of,the,nature,of,this,work.,,,,,,,,,,,,
#,comment:,If,the,GML,data,are,essential,to,the,work,or,if,an,important,,,,,,,,,,,,
#,comment:,result,or,conclusion,depends,on,the,GML,data,co-authorship,,,,,,,,,,,,,,,,
#,comment:,may,be,appropriate.,This,should,be,discussed,at,an,early,stage,in,,,,,,,,,,,,,
#,comment:,the,work.,Manuscripts,using,the,GML,data,should,be,sent,to,GML,,,,,,,,,,,,,
#,comment:,for,review,before,they,are,submitted,for,publication,so,we,can,,,,,,,,,,,,,,
#,comment:,ensure,that,the,quality,and,limitations,of,the,data,are,accurately,,,,,,,,,,,,,,
#,comment:,represented.,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Every,effort,is,made,to,produce,the,most,accurate,and,precise,,,,,,,,,,,,,,
#,comment:,measurements,possible.,However,we,reserve,the,right,to,make,,,,,,,,,,,,,,,,
#,comment:,corrections,to,the,data,based,on,recalibration,of,standard,gases,,,,,,,,,,,,,,,
#,comment:,or,for,other,reasons,deemed,scientifically,justified.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,We,are,not,responsible,for,results,and,conclusions,based,on,use,,,,,,,,,,,,,,
#,comment:,of,these,data,without,regard,to,this,warning.,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,contact_parameter:,CO2,CCGG,(Individual,Flasks),,,,,,,,,,,,,,,,,,,,,
#,contact_name:,Ed,Dlugokencky,,,,,,,,,,,,,,,,,,,,,,,
#,contact_telephone:,-303,497-6228,,,,,,,,,,,,,,,,,,,,,,,
#,contact_email:,Ed.Dlugokencky@noaa.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,COLLABORATORS,***************,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,NOAA,thanks,the,following,collaborators,without,,,,,,,,,,,,,,,,,,,
#,comment:,whom,these,measurements,would,not,be,possible.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,University,of,Colorado/INSTAAR,[INSTAAR],,,,,,,,,,,,,,,,,,,,,
#,collaborator_url:,http://instaar.colorado.edu,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,RECIPROCITY,AGREEMENT,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Use,of,these,data,implies,an,agreement,to,reciprocate.,,,,,,,,,,,,,,,,
#,comment:,Laboratories,making,similar,measurements,agree,to,make,their,,,,,,,,,,,,,,,,,
#,comment:,own,data,available,to,the,general,public,and,to,the,scientific,,,,,,,,,,,,,,
#,comment:,community,in,an,equally,complete,and,easily,accessible,form.,,,,,,,,,,,,,,,,
#,comment:,Modelers,are,encouraged,to,make,available,to,the,community,,,,,,,,,,,,,,,,
#,comment:,upon,request,their,own,tools,used,in,the,interpretation,,,,,,,,,,,,,,,,
#,comment:,of,the,GML,data,namely,well,documented,model,code,transport,,,,,,,,,,,,,,,
#,comment:,fields,and,additional,information,necessary,for,other,,,,,,,,,,,,,,,,,,
#,comment:,scientists,to,repeat,the,work,and,to,run,modified,versions.,,,,,,,,,,,,,,,
#,comment:,Model,availability,includes,collaborative,support,for,new,,,,,,,,,,,,,,,,,,
#,comment:,users,of,the,models.,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DESCRIPTION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,description_site-code:,nwr,,,,,,,,,,,,,,,,,,,,,,,,
#,description_project-abbr:,ccg_surface,,,,,,,,,,,,,,,,,,,,,,,,
#,description_strategy-abbr:,flask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_sample-constraints:,me:-H~date:1900-01-01,12/31/19,,,,,,,,,,,,,,,,,,,,,,,
#,description_creation-time:,7/24/20,11:02:03,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DOCUMENTATION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Please,refer,to,the,species-specific,README,file,in,the,,,,,,,,,,,,,,,,
#,comment:,appropriate,directory,folder,at,ftp://aftp.cmdl.noaa.gov/data/trace_gases/.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
NWR,1967,5,18,19,6,0,28-67,N,co2,CCGG,324.85,0.53,T..,LR1,1967,5,19,8,42,0,40.05,-105.63,3526,3523,3,86714
NWR,1967,5,18,19,6,0,95-67,N,co2,CCGG,324.73,0.53,T..,LR1,1967,5,19,8,40,0,40.05,-105.63,3526,3523,3,86715
NWR,1967,5,18,19,15,0,Oct-67,N,co2,CCGG,327.53,0.53,T..,LR1,1967,5,19,8,30,0,40.05,-105.63,3526,3523,3,86717
NWR,1967,5,18,19,15,0,May-67,N,co2,CCGG,329.4,0.53,T..,LR1,1967,5,19,8,28,0,40.05,-105.63,3526,3523,3,86716
NWR,1967,7,6,18,1,0,101-67,N,co2,CCGG,323.86,0.53,T..,LR1,1967,7,10,9,16,0,40.05,-105.63,3526,3523,3,86718
NWR,1967,7,6,18,4,0,102-67,N,co2,CCGG,321.26,0.53,T..,LR1,1967,7,10,9,14,0,40.05,-105.63,3526,3523,3,86719
NWR,1967,7,6,18,58,0,103-67,N,co2,CCGG,320.87,0.53,T..,LR1,1967,7,10,9,12,0,40.05,-105.63,3526,3523,3,86720
NWR,1967,7,6,19,56,0,104-67,N,co2,CCGG,318.88,0.53,T..,LR1,1967,7,10,9,2,0,40.05,-105.63,3526,3523,3,86721
NWR,1967,7,6,21,4,0,105-67,N,co2,CCGG,318.65,0.53,T..,LR1,1967,7,10,9,0,0,40.05,-105.63,3526,3523,3,86722
NWR,1967,7,6,21,10,0,1001-67,N,co2,CCGG,321.72,0.53,T..,LR1,1967,7,10,9,18,0,40.05,-105.63,3526,3523,3,86723
NWR,1967,7,6,21,12,0,1002-67,N,co2,CCGG,319.45,0.53,T..,LR1,1967,7,10,9,28,0,40.05,-105.63,3526,3523,3,86724
NWR,1967,7,6,21,20,0,1003-67,N,co2,CCGG,-999.99,-999.99,*..,LR1,1967,7,10,9,30,0,40.05,-105.63,3526,3523,3,86725
NWR,1967,7,6,21,30,0,1004-67,N,co2,CCGG,324.43,0.53,T..,LR1,1967,7,10,9,32,0,40.05,-105.63,3526,3523,3,86726
NWR,1967,7,6,21,34,0,1005-67,N,co2,CCGG,319.68,0.53,T..,LR1,1967,7,10,9,34,0,40.05,-105.63,3526,3523,3,86727
NWR,1967,7,6,21,42,0,1006-67,N,co2,CCGG,-999.99,-999.99,*..,LR1,1967,7,10,9,44,0,40.05,-105.63,3526,3523,3,86728
NWR,1967,7,6,21,50,0,1007-67,N,co2,CCGG,320.57,0.53,T..,LR1,1967,7,10,9,46,0,40.05,-105.63,3526,3523,3,86729
NWR,1967,7,6,21,53,0,1008-67,N,co2,CCGG,320.6,0.53,T..,LR1,1967,7,10,9,48,0,40.05,-105.63,3526,3523,3,86730
NWR,1967,7,6,22,0,0,106-67,N,co2,CCGG,321.97,0.53,T..,LR1,1967,7,10,8,58,0,40.05,-105.63,3526,3523,3,86731
NWR,1967,7,6,23,3,0,107-67,N,co2,CCGG,320.53,0.53,T..,LR1,1967,7,10,8,56,0,40.05,-105.63,3526,3523,3,86732
NWR,1967,7,6,23,57,0,108-67,N,co2,CCGG,320.08,0.53,T..,LR1,1967,7,10,8,46,0,40.05,-105.63,3526,3523,3,86733
NWR,1967,7,7,0,0,0,109-67,N,co2,CCGG,323.61,0.53,T..,LR1,1967,7,10,8,44,0,40.05,-105.63,3526,3523,3,86734
NWR,1967,7,7,0,58,0,110-67,N,co2,CCGG,320.01,0.53,T..,LR1,1967,7,10,8,42,0,40.05,-105.63,3526,3523,3,86735
NWR,1967,7,7,2,0,0,111-67,N,co2,CCGG,321.09,0.53,T..,LR1,1967,7,10,8,40,0,40.05,-105.63,3526,3523,3,86736
NWR,1967,7,7,3,0,0,112-67,N,co2,CCGG,323.01,0.53,T..,LR1,1967,7,10,8,30,0,40.05,-105.63,3526,3523,3,86737
NWR,1967,7,7,4,5,0,113-67,N,co2,CCGG,323.3,0.53,T..,LR1,1967,7,10,8,28,0,40.05,-105.63,3526,3523,3,86738
NWR,1967,7,7,5,4,0,114-67,N,co2,CCGG,326.16,0.53,T..,LR1,1967,7,10,8,26,0,40.05,-105.63,3526,3523,3,86739
NWR,1967,7,7,5,59,0,115-67,N,co2,CCGG,321.97,0.53,T..,LR1,1967,7,10,8,24,0,40.05,-105.63,3526,3523,3,86740
NWR,1967,7,7,6,2,0,116-67,N,co2,CCGG,321.55,0.53,T..,LR1,1967,7,10,8,14,0,40.05,-105.63,3526,3523,3,86741
NWR,1967,7,7,7,3,0,117-67,N,co2,CCGG,322.03,0.53,T..,LR1,1967,7,10,8,12,0,40.05,-105.63,3526,3523,3,86742
NWR,1967,7,7,8,0,0,118-67,N,co2,CCGG,322.42,0.53,T..,LR1,1967,7,10,8,10,0,40.05,-105.63,3526,3523,3,86743
NWR,1967,7,7,9,0,0,119-67,N,co2,CCGG,324.37,0.53,T..,LR1,1967,7,10,8,8,0,40.05,-105.63,3526,3523,3,86744
NWR,1967,7,7,9,10,0,22-67,N,co2,CCGG,324.88,0.53,T..,LR1,1967,7,10,9,50,0,40.05,-105.63,3526,3523,3,86745
NWR,1967,7,7,9,11,0,24-67,N,co2,CCGG,-999.99,-999.99,*..,LR1,1967,7,10,10,0,0,40.05,-105.63,3526,3523,3,86746
NWR,1967,7,7,9,20,0,May-67,N,co2,CCGG,325.28,0.53,T..,LR1,1967,7,10,10,2,0,40.05,-105.63,3526,3523,3,86747
NWR,1967,7,7,9,30,0,Oct-67,N,co2,CCGG,325.11,0.53,T..,LR1,1967,7,10,10,4,0,40.05,-105.63,3526,3523,3,86748
NWR,1967,7,7,9,31,0,Nov-67,N,co2,CCGG,324.14,0.53,T..,LR1,1967,7,11,8,12,0,40.05,-105.63,3526,3523,3,86749
NWR,1967,7,7,9,40,0,Feb-67,N,co2,CCGG,324.6,0.53,T..,LR1,1967,7,11,8,14,0,40.05,-105.63,3526,3523,3,86750
NWR,1967,7,7,9,50,0,13-67,N,co2,CCGG,324.48,0.53,T..,LR1,1967,7,11,8,24,0,40.05,-105.63,3526,3523,3,86751
NWR,1967,7,7,9,51,0,16-67,N,co2,CCGG,325.11,0.53,T..,LR1,1967,7,11,8,26,0,40.05,-105.63,3526,3523,3,86752
