#,number_of_header_lines:,68,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,ESRL,GMD,DATA,****************,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,made,freely,available,to,the,public,and,the,,,,,,,,,,,,,,
#,comment:,scientific,community,in,the,belief,that,their,wide,dissemination,,,,,,,,,,,,,,,,
#,comment:,will,lead,to,greater,understanding,and,new,scientific,insights.,,,,,,,,,,,,,,,,
#,comment:,The,availability,of,these,data,does,not,constitute,publication,,,,,,,,,,,,,,,,
#,comment:,of,the,data.,NOAA,relies,on,the,ethics,and,integrity,of,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,GML,receives,fair,credit,for,their,work.,If,the,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,potential,use,in,a,publication,or,"presentation,",,,,,,,,,,,,,,,
#,comment:,GML,should,be,informed,at,the,outset,of,the,nature,of,this,work.,,,,,,,,,,,,
#,comment:,If,the,GML,data,are,essential,to,the,"work,",or,if,an,important,,,,,,,,,,,,
#,comment:,result,or,conclusion,depends,on,the,GML,"data,",co-authorship,,,,,,,,,,,,,,,,
#,comment:,may,be,appropriate.,This,should,be,discussed,at,an,early,stage,in,,,,,,,,,,,,,
#,comment:,the,work.,Manuscripts,using,the,GML,data,should,be,sent,to,GML,,,,,,,,,,,,,
#,comment:,for,review,before,they,are,submitted,for,publication,so,we,can,,,,,,,,,,,,,,
#,comment:,ensure,that,the,quality,and,limitations,of,the,data,are,accurately,,,,,,,,,,,,,,
#,comment:,represented.,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Every,effort,is,made,to,produce,the,most,accurate,and,precise,,,,,,,,,,,,,,
#,comment:,measurements,possible.,"However,",we,reserve,the,right,to,make,,,,,,,,,,,,,,,,
#,comment:,corrections,to,the,data,based,on,recalibration,of,standard,gases,,,,,,,,,,,,,,,
#,comment:,or,for,other,reasons,deemed,scientifically,justified.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,We,are,not,responsible,for,results,and,conclusions,based,on,use,,,,,,,,,,,,,,
#,comment:,of,these,data,without,regard,to,this,warning.,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,contact_parameter:,CO2,CCGG,(Individual,Flasks),,,,,,,,,,,,,,,,,,,,,
#,contact_name:,Ed,Dlugokencky,,,,,,,,,,,,,,,,,,,,,,,
#,contact_telephone:,-303,497-6228,,,,,,,,,,,,,,,,,,,,,,,
#,contact_email:,Ed.Dlugokencky@noaa.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,COLLABORATORS,***************,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,NOAA,thanks,the,following,collaborators,without,,,,,,,,,,,,,,,,,,,
#,comment:,whom,these,measurements,would,not,be,possible.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,Chugach,McKinley,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,RECIPROCITY,AGREEMENT,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Use,of,these,data,implies,an,agreement,to,reciprocate.,,,,,,,,,,,,,,,,
#,comment:,Laboratories,making,similar,measurements,agree,to,make,their,,,,,,,,,,,,,,,,,
#,comment:,own,data,available,to,the,general,public,and,to,the,scientific,,,,,,,,,,,,,,
#,comment:,community,in,an,equally,complete,and,easily,accessible,form.,,,,,,,,,,,,,,,,
#,comment:,Modelers,are,encouraged,to,make,available,to,the,"community,",,,,,,,,,,,,,,,,
#,comment:,upon,"request,",their,own,tools,used,in,the,interpretation,,,,,,,,,,,,,,,,
#,comment:,of,the,GML,"data,",namely,well,documented,model,"code,",transport,,,,,,,,,,,,,,,
#,comment:,"fields,",and,additional,information,necessary,for,other,,,,,,,,,,,,,,,,,,
#,comment:,scientists,to,repeat,the,work,and,to,run,modified,versions.,,,,,,,,,,,,,,,
#,comment:,Model,availability,includes,collaborative,support,for,new,,,,,,,,,,,,,,,,,,
#,comment:,users,of,the,models.,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DESCRIPTION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,description_site-code:,shm,,,,,,,,,,,,,,,,,,,,,,,,
#,description_project-abbr:,ccg_surface,,,,,,,,,,,,,,,,,,,,,,,,
#,description_strategy-abbr:,flask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_sample-constraints:,"me:-H~date:1900-01-01,2019-12-31",,,,,,,,,,,,,,,,,,,,,,,,
#,description_creation-time:,7/24/20,11:03:21,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DOCUMENTATION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Please,refer,to,the,species-specific,README,file,in,the,,,,,,,,,,,,,,,,
#,comment:,appropriate,directory,folder,at,ftp://aftp.cmdl.noaa.gov/data/trace_gases/.,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,data_fields:,,,,,,,,,,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
SHM,1985,9,4,23,6,0,1587-82,P,co2,CCGG,334.8,0.18,+..,U3,1985,9,29,10,32,0,52.72,174.1,26,23,3,116278
SHM,1985,9,4,23,6,0,1588-82,P,co2,CCGG,334.28,0.18,-..,U3,1985,9,29,10,34,0,52.72,174.1,26,23,3,116279
SHM,1985,9,11,23,30,0,1333-82,P,co2,CCGG,337.49,0.18,...,U3,1985,10,2,10,36,0,52.72,174.1,26,23,3,116280
SHM,1985,9,11,23,30,0,1334-82,P,co2,CCGG,337.55,0.18,...,U3,1985,10,2,10,38,0,52.72,174.1,26,23,3,116281
SHM,1985,9,19,22,0,0,185-82,P,co2,CCGG,336.71,0.18,.X.,U3,1985,10,24,8,44,0,52.72,174.1,26,23,3,116282
SHM,1985,9,19,22,0,0,186-82,P,co2,CCGG,336.76,0.18,.X.,U3,1985,10,24,8,46,0,52.72,174.1,26,23,3,116283
SHM,1985,9,25,0,45,0,1149-82,P,co2,CCGG,342.3,0.18,...,U3,1985,10,24,8,56,0,52.72,174.1,26,23,3,116284
SHM,1985,9,25,0,45,0,1150-82,P,co2,CCGG,342.19,0.18,...,U3,1985,10,24,8,58,0,52.72,174.1,26,23,3,116285
SHM,1985,10,2,0,30,0,441-83,P,co2,CCGG,344.7,0.18,...,U3,1985,10,29,10,52,0,52.72,174.1,26,23,3,116286
SHM,1985,10,2,0,30,0,442-83,P,co2,CCGG,344.77,0.18,...,U3,1985,10,29,10,54,0,52.72,174.1,26,23,3,116287
SHM,1985,10,9,19,15,0,1607-82,P,co2,CCGG,345.5,0.18,...,U3,1985,10,30,10,48,0,52.72,174.1,26,23,3,116288
SHM,1985,10,9,19,15,0,1608-82,P,co2,CCGG,345.65,0.18,...,U3,1985,10,30,10,50,0,52.72,174.1,26,23,3,116289
SHM,1985,10,16,19,30,0,839-81,P,co2,CCGG,350,0.18,.X.,U3,1985,11,6,10,32,0,52.72,174.1,26,23,3,116290
SHM,1985,10,16,19,30,0,840-81,P,co2,CCGG,350.23,0.18,.X.,U3,1985,11,6,10,34,0,52.72,174.1,26,23,3,116291
SHM,1985,10,25,18,30,0,695-83,P,co2,CCGG,346.92,0.18,...,U3,1985,11,6,10,36,0,52.72,174.1,26,23,3,116292
SHM,1985,10,25,18,30,0,696-83,P,co2,CCGG,346.96,0.18,...,U3,1985,11,6,10,38,0,52.72,174.1,26,23,3,116293
SHM,1985,10,31,19,0,0,553-85,P,co2,CCGG,348.53,0.18,-..,U3,1985,11,15,8,24,0,52.72,174.1,26,23,3,116294
SHM,1985,10,31,19,0,0,554-85,P,co2,CCGG,349.11,0.18,+..,U3,1985,11,15,8,26,0,52.72,174.1,26,23,3,116295
SHM,1985,11,8,1,0,0,59-83,P,co2,CCGG,346.59,0.18,...,U3,1985,11,15,8,56,0,52.72,174.1,26,23,3,116296
SHM,1985,11,8,1,0,0,60-83,P,co2,CCGG,346.58,0.18,...,U3,1985,11,15,8,58,0,52.72,174.1,26,23,3,116297
SHM,1985,11,13,23,30,0,391-85,P,co2,CCGG,348.23,0.18,...,U3,1985,12,19,10,4,0,52.72,174.1,26,23,3,116298
SHM,1985,11,13,23,30,0,392-85,P,co2,CCGG,348.08,0.18,...,U3,1985,12,19,10,6,0,52.72,174.1,26,23,3,116299
SHM,1985,11,22,1,30,0,627-83,P,co2,CCGG,350.1,0.18,...,U3,1985,12,19,10,0,0,52.72,174.1,26,23,3,116300
SHM,1985,11,22,1,30,0,628-83,P,co2,CCGG,350.03,0.18,...,U3,1985,12,19,10,2,0,52.72,174.1,26,23,3,116301
SHM,1985,11,29,23,0,0,501-82,P,co2,CCGG,348.44,0.18,-..,U3,1985,12,16,10,48,0,52.72,174.1,26,23,3,116302
SHM,1985,11,29,23,0,0,502-82,P,co2,CCGG,349.02,0.18,+..,U3,1985,12,16,10,50,0,52.72,174.1,26,23,3,116303
SHM,1985,12,12,1,0,0,243-83,P,co2,CCGG,349.72,0.18,-..,U3,1986,1,14,11,20,0,52.72,174.1,26,23,3,116304
SHM,1985,12,12,1,0,0,244-83,P,co2,CCGG,350.36,0.18,+..,U3,1986,1,14,11,22,0,52.72,174.1,26,23,3,116305
SHM,1985,12,21,0,0,0,391-83,P,co2,CCGG,350.24,0.18,...,U3,1986,1,6,10,36,0,52.72,174.1,26,23,3,116306
SHM,1985,12,21,0,0,0,392-83,P,co2,CCGG,350.3,0.18,...,U3,1986,1,6,10,38,0,52.72,174.1,26,23,3,116307
SHM,1985,12,31,0,0,0,641-83,P,co2,CCGG,351.19,0.18,-..,U3,1986,2,12,10,16,0,52.72,174.1,26,23,3,116308
SHM,1985,12,31,0,0,0,642-83,P,co2,CCGG,351.79,0.18,+..,U3,1986,2,12,10,18,0,52.72,174.1,26,23,3,116309
SHM,1986,1,8,17,30,0,59-83,P,co2,CCGG,351.6,0.18,...,U3,1986,2,12,10,4,0,52.72,174.1,26,23,3,116310
SHM,1986,1,8,17,30,0,60-83,P,co2,CCGG,351.73,0.18,...,U3,1986,2,12,10,6,0,52.72,174.1,26,23,3,116311
SHM,1986,1,16,3,0,0,887-83,P,co2,CCGG,351.1,0.18,...,U3,1986,2,25,9,28,0,52.72,174.1,26,23,3,116312
SHM,1986,1,16,3,0,0,888-83,P,co2,CCGG,351.28,0.18,...,U3,1986,2,25,9,30,0,52.72,174.1,26,23,3,116313
SHM,1986,1,23,0,0,0,1525-82,P,co2,CCGG,350.02,0.18,...,U3,1986,2,25,8,40,0,52.72,174.1,26,23,3,116314
SHM,1986,1,23,0,0,0,1526-82,P,co2,CCGG,350.22,0.18,...,U3,1986,2,25,8,42,0,52.72,174.1,26,23,3,116315
SHM,1986,1,30,21,0,0,1161-82,P,co2,CCGG,351.19,0.18,...,U3,1986,2,18,9,0,0,52.72,174.1,26,23,3,116316
SHM,1986,1,30,21,0,0,1162-82,P,co2,CCGG,351.23,0.18,...,U3,1986,2,18,9,2,0,52.72,174.1,26,23,3,116317
SHM,1986,2,6,0,0,0,759-83,P,co2,CCGG,351.19,0.18,...,U3,1986,2,18,9,48,0,52.72,174.1,26,23,3,116318
