#,number_of_header_lines:,72,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,ESRL,GMD,DATA,****************,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,made,freely,available,to,the,public,and,the,,,,,,,,,,,,,,
#,comment:,scientific,community,in,the,belief,that,their,wide,dissemination,,,,,,,,,,,,,,,,
#,comment:,will,lead,to,greater,understanding,and,new,scientific,insights.,,,,,,,,,,,,,,,,
#,comment:,The,availability,of,these,data,does,not,constitute,publication,,,,,,,,,,,,,,,,
#,comment:,of,the,data.,NOAA,relies,on,the,ethics,and,integrity,of,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,GML,receives,fair,credit,for,their,work.,If,the,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,potential,use,in,a,publication,or,"presentation,",,,,,,,,,,,,,,,
#,comment:,GML,should,be,informed,at,the,outset,of,the,nature,of,this,work.,,,,,,,,,,,,
#,comment:,If,the,GML,data,are,essential,to,the,"work,",or,if,an,important,,,,,,,,,,,,
#,comment:,result,or,conclusion,depends,on,the,GML,"data,",co-authorship,,,,,,,,,,,,,,,,
#,comment:,may,be,appropriate.,This,should,be,discussed,at,an,early,stage,in,,,,,,,,,,,,,
#,comment:,the,work.,Manuscripts,using,the,GML,data,should,be,sent,to,GML,,,,,,,,,,,,,
#,comment:,for,review,before,they,are,submitted,for,publication,so,we,can,,,,,,,,,,,,,,
#,comment:,ensure,that,the,quality,and,limitations,of,the,data,are,accurately,,,,,,,,,,,,,,
#,comment:,represented.,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Every,effort,is,made,to,produce,the,most,accurate,and,precise,,,,,,,,,,,,,,
#,comment:,measurements,possible.,"However,",we,reserve,the,right,to,make,,,,,,,,,,,,,,,,
#,comment:,corrections,to,the,data,based,on,recalibration,of,standard,gases,,,,,,,,,,,,,,,
#,comment:,or,for,other,reasons,deemed,scientifically,justified.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,We,are,not,responsible,for,results,and,conclusions,based,on,use,,,,,,,,,,,,,,
#,comment:,of,these,data,without,regard,to,this,warning.,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,contact_parameter:,CO2,CCGG,(Individual,Flasks),,,,,,,,,,,,,,,,,,,,,
#,contact_name:,Ed,Dlugokencky,,,,,,,,,,,,,,,,,,,,,,,
#,contact_telephone:,-303,497-6228,,,,,,,,,,,,,,,,,,,,,,,
#,contact_email:,Ed.Dlugokencky@noaa.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,COLLABORATORS,***************,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,NOAA,thanks,the,following,collaborators,without,,,,,,,,,,,,,,,,,,,
#,comment:,whom,these,measurements,would,not,be,possible.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,Weizmann,Institute,of,Science,and,Arava,Institute,,,,,,,,,,,,,,,,,,
#,collaborator_name:,for,Environmental,Studies,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_comment:,Arava,Institute,for,Environmental,Studies,,,,,,,,,,,,,,,,,,,,
#,collaborator_comment:,Kibbutz,"Ketura,",8884000,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_comment:,Israel,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,RECIPROCITY,AGREEMENT,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Use,of,these,data,implies,an,agreement,to,reciprocate.,,,,,,,,,,,,,,,,
#,comment:,Laboratories,making,similar,measurements,agree,to,make,their,,,,,,,,,,,,,,,,,
#,comment:,own,data,available,to,the,general,public,and,to,the,scientific,,,,,,,,,,,,,,
#,comment:,community,in,an,equally,complete,and,easily,accessible,form.,,,,,,,,,,,,,,,,
#,comment:,Modelers,are,encouraged,to,make,available,to,the,"community,",,,,,,,,,,,,,,,,
#,comment:,upon,"request,",their,own,tools,used,in,the,interpretation,,,,,,,,,,,,,,,,
#,comment:,of,the,GML,"data,",namely,well,documented,model,"code,",transport,,,,,,,,,,,,,,,
#,comment:,"fields,",and,additional,information,necessary,for,other,,,,,,,,,,,,,,,,,,
#,comment:,scientists,to,repeat,the,work,and,to,run,modified,versions.,,,,,,,,,,,,,,,
#,comment:,Model,availability,includes,collaborative,support,for,new,,,,,,,,,,,,,,,,,,
#,comment:,users,of,the,models.,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DESCRIPTION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,description_site-code:,wis,,,,,,,,,,,,,,,,,,,,,,,,
#,description_project-abbr:,ccg_surface,,,,,,,,,,,,,,,,,,,,,,,,
#,description_strategy-abbr:,flask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_sample-constraints:,"me:-H~date:1900-01-01,2019-12-31",,,,,,,,,,,,,,,,,,,,,,,,
#,description_creation-time:,7/24/20,11:04:26,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DOCUMENTATION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Please,refer,to,the,species-specific,README,file,in,the,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
WIS,1995,11,27,13,9,0,267-91,P,co2,CCGG,368.65,0.12,...,S1,1995,12,20,11,36,0,30.8595,34.7809,482,477,5,163391
WIS,1995,11,27,13,9,0,268-91,P,co2,CCGG,368.62,0.12,...,S1,1995,12,20,11,38,0,30.8595,34.7809,482,477,5,163392
WIS,1995,12,2,14,34,0,127-91,P,co2,CCGG,365.61,0.12,...,S1,1995,12,20,12,0,0,30.8595,34.7809,482,477,5,163393
WIS,1995,12,2,14,34,0,128-91,P,co2,CCGG,365.64,0.12,...,S1,1995,12,20,12,2,0,30.8595,34.7809,482,477,5,163394
WIS,1995,12,30,12,10,0,1735-91,P,co2,CCGG,363.19,0.12,...,S1,1996,2,1,9,12,0,30.8595,34.7809,482,477,5,163395
WIS,1995,12,30,12,10,0,1736-91,P,co2,CCGG,363.17,0.12,...,S1,1996,2,1,9,14,0,30.8595,34.7809,482,477,5,163396
WIS,1996,1,6,12,8,0,1737-91,P,co2,CCGG,368.62,0.12,...,S1,1996,2,1,9,20,0,30.8595,34.7809,482,477,5,163397
WIS,1996,1,6,12,8,0,1738-91,P,co2,CCGG,368.58,0.12,...,S1,1996,2,1,9,22,0,30.8595,34.7809,482,477,5,163398
WIS,1996,1,13,11,50,0,1731-91,P,co2,CCGG,366.28,0.12,...,S1,1996,2,7,10,4,0,30.8595,34.7809,482,477,5,163399
WIS,1996,1,13,11,50,0,1732-91,P,co2,CCGG,366.35,0.12,...,S1,1996,2,7,10,6,0,30.8595,34.7809,482,477,5,163400
WIS,1996,1,20,12,0,0,1733-91,P,co2,CCGG,366.9,0.12,...,S1,1996,2,7,10,20,0,30.8595,34.7809,482,477,5,163401
WIS,1996,1,20,12,0,0,1734-91,P,co2,CCGG,366.84,0.12,...,S1,1996,2,7,10,22,0,30.8595,34.7809,482,477,5,163402
WIS,1996,1,27,12,15,0,1727-91,P,co2,CCGG,366.5,0.12,...,S1,1996,3,5,8,28,0,30.8595,34.7809,482,477,5,163403
WIS,1996,1,27,12,15,0,1728-91,P,co2,CCGG,366.45,0.12,...,S1,1996,3,5,8,30,0,30.8595,34.7809,482,477,5,163404
WIS,1996,2,3,12,0,0,1729-91,P,co2,CCGG,365.24,0.12,...,S1,1996,3,8,12,32,0,30.8595,34.7809,482,477,5,163405
WIS,1996,2,3,12,0,0,1730-91,P,co2,CCGG,365.2,0.12,...,S1,1996,3,8,12,34,0,30.8595,34.7809,482,477,5,163406
WIS,1996,2,10,11,57,0,1751-91,P,co2,CCGG,367.93,0.12,...,S1,1996,3,8,13,0,0,30.8595,34.7809,482,477,5,163407
WIS,1996,2,10,11,57,0,1754-91,P,co2,CCGG,367.93,0.12,...,S1,1996,3,8,13,2,0,30.8595,34.7809,482,477,5,163408
WIS,1996,2,17,12,5,0,1749-91,P,co2,CCGG,367.59,0.12,...,S1,1996,3,8,13,12,0,30.8595,34.7809,482,477,5,163409
WIS,1996,2,17,12,5,0,1750-91,P,co2,CCGG,367.57,0.12,...,S1,1996,3,8,13,14,0,30.8595,34.7809,482,477,5,163410
WIS,1996,2,24,11,50,0,1743-91,P,co2,CCGG,365.01,0.12,...,S1,1996,3,22,8,16,0,30.8595,34.7809,482,477,5,163411
WIS,1996,2,24,11,50,0,1744-91,P,co2,CCGG,364.96,0.12,...,S1,1996,3,22,8,18,0,30.8595,34.7809,482,477,5,163412
WIS,1996,3,2,12,3,0,1745-91,P,co2,CCGG,365.88,0.12,...,S1,1996,3,22,8,56,0,30.8595,34.7809,482,477,5,163413
WIS,1996,3,2,12,3,0,1748-91,P,co2,CCGG,365.87,0.12,...,S1,1996,3,22,8,58,0,30.8595,34.7809,482,477,5,163414
WIS,1996,3,9,12,5,0,1763-91,P,co2,CCGG,366.45,0.12,...,S1,1996,4,8,12,36,0,30.8595,34.7809,482,477,5,163415
WIS,1996,3,9,12,5,0,1764-91,P,co2,CCGG,366.42,0.12,...,S1,1996,4,8,12,38,0,30.8595,34.7809,482,477,5,163416
WIS,1996,3,16,14,10,0,1746-91,P,co2,CCGG,364.54,0.12,-..,S1,1996,4,8,12,32,0,30.8595,34.7809,482,477,5,163417
WIS,1996,3,16,14,10,0,1767-91,P,co2,CCGG,365.67,0.12,+..,S1,1996,4,8,12,34,0,30.8595,34.7809,482,477,5,163418
WIS,1996,3,23,11,40,0,1739-91,P,co2,CCGG,367.8,0.12,...,S1,1996,4,15,10,28,0,30.8595,34.7809,482,477,5,163419
WIS,1996,3,23,11,40,0,1740-91,P,co2,CCGG,367.83,0.12,...,S1,1996,4,15,10,30,0,30.8595,34.7809,482,477,5,163420
WIS,1996,3,30,12,15,0,1741-91,P,co2,CCGG,366.7,0.12,...,S1,1996,4,23,8,56,0,30.8595,34.7809,482,477,5,163421
WIS,1996,3,30,12,15,0,1742-91,P,co2,CCGG,366.67,0.12,...,S1,1996,4,23,8,58,0,30.8595,34.7809,482,477,5,163422
WIS,1996,4,6,12,10,0,19-91,P,co2,CCGG,366.54,0.12,...,S1,1996,4,25,9,20,0,30.8595,34.7809,482,477,5,163423
WIS,1996,4,6,12,10,0,20-91,P,co2,CCGG,366.27,0.12,...,S1,1996,4,25,9,22,0,30.8595,34.7809,482,477,5,163424
WIS,1996,4,13,11,40,0,363-91,P,co2,CCGG,368.65,0.12,...,S1,1996,4,25,9,28,0,30.8595,34.7809,482,477,5,163425
WIS,1996,4,13,11,40,0,364-91,P,co2,CCGG,368.58,0.12,...,S1,1996,4,25,9,30,0,30.8595,34.7809,482,477,5,163426
WIS,1996,4,20,12,15,0,1321-91,P,co2,CCGG,368.52,0.12,...,S1,1996,5,8,14,8,0,30.8595,34.7809,482,477,5,163427
WIS,1996,4,20,12,15,0,1322-91,P,co2,CCGG,368.54,0.12,...,S1,1996,5,8,14,10,0,30.8595,34.7809,482,477,5,163428
WIS,1996,4,27,14,2,0,1769-91,P,co2,CCGG,369.64,0.12,...,S1,1996,5,8,14,12,0,30.8595,34.7809,482,477,5,163429
WIS,1996,4,27,14,2,0,1770-91,P,co2,CCGG,369.64,0.12,...,S1,1996,5,8,14,14,0,30.8595,34.7809,482,477,5,163430
WIS,1996,5,4,13,57,0,325-91,P,co2,CCGG,369.87,0.12,...,S1,1996,5,28,10,0,0,30.8595,34.7809,482,477,5,163431
