#,number_of_header_lines:,69,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,USE,OF,ESRL,GMD,DATA,****************,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,These,data,are,made,freely,available,to,the,public,and,the,,,,,,,,,,,,,,
#,comment:,scientific,community,in,the,belief,that,their,wide,dissemination,,,,,,,,,,,,,,,,
#,comment:,will,lead,to,greater,understanding,and,new,scientific,insights.,,,,,,,,,,,,,,,,
#,comment:,The,availability,of,these,data,does,not,constitute,publication,,,,,,,,,,,,,,,,
#,comment:,of,the,data.,NOAA,relies,on,the,ethics,and,integrity,of,the,user,to,,,,,,,,,,,
#,comment:,ensure,that,GML,receives,fair,credit,for,their,work.,If,the,data,,,,,,,,,,,,,
#,comment:,are,obtained,for,potential,use,in,a,publication,or,"presentation,",,,,,,,,,,,,,,,
#,comment:,GML,should,be,informed,at,the,outset,of,the,nature,of,this,work.,,,,,,,,,,,,
#,comment:,If,the,GML,data,are,essential,to,the,"work,",or,if,an,important,,,,,,,,,,,,
#,comment:,result,or,conclusion,depends,on,the,GML,"data,",co-authorship,,,,,,,,,,,,,,,,
#,comment:,may,be,appropriate.,This,should,be,discussed,at,an,early,stage,in,,,,,,,,,,,,,
#,comment:,the,work.,Manuscripts,using,the,GML,data,should,be,sent,to,GML,,,,,,,,,,,,,
#,comment:,for,review,before,they,are,submitted,for,publication,so,we,can,,,,,,,,,,,,,,
#,comment:,ensure,that,the,quality,and,limitations,of,the,data,are,accurately,,,,,,,,,,,,,,
#,comment:,represented.,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Every,effort,is,made,to,produce,the,most,accurate,and,precise,,,,,,,,,,,,,,
#,comment:,measurements,possible.,"However,",we,reserve,the,right,to,make,,,,,,,,,,,,,,,,
#,comment:,corrections,to,the,data,based,on,recalibration,of,standard,gases,,,,,,,,,,,,,,,
#,comment:,or,for,other,reasons,deemed,scientifically,justified.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,We,are,not,responsible,for,results,and,conclusions,based,on,use,,,,,,,,,,,,,,
#,comment:,of,these,data,without,regard,to,this,warning.,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,contact_parameter:,CO2,CCGG,(Individual,Flasks),,,,,,,,,,,,,,,,,,,,,
#,contact_name:,Ed,Dlugokencky,,,,,,,,,,,,,,,,,,,,,,,
#,contact_telephone:,-303,497-6228,,,,,,,,,,,,,,,,,,,,,,,
#,contact_email:,Ed.Dlugokencky@noaa.gov,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,COLLABORATORS,***************,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,NOAA,thanks,the,following,collaborators,without,,,,,,,,,,,,,,,,,,,
#,comment:,whom,these,measurements,would,not,be,possible.,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,Zeppelin,Station/University,of,Stockholm,,,,,,,,,,,,,,,,,,,,,
#,collaborator_name:,Meteorological,Institute,[MISU],,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,RECIPROCITY,AGREEMENT,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Use,of,these,data,implies,an,agreement,to,reciprocate.,,,,,,,,,,,,,,,,
#,comment:,Laboratories,making,similar,measurements,agree,to,make,their,,,,,,,,,,,,,,,,,
#,comment:,own,data,available,to,the,general,public,and,to,the,scientific,,,,,,,,,,,,,,
#,comment:,community,in,an,equally,complete,and,easily,accessible,form.,,,,,,,,,,,,,,,,
#,comment:,Modelers,are,encouraged,to,make,available,to,the,"community,",,,,,,,,,,,,,,,,
#,comment:,upon,"request,",their,own,tools,used,in,the,interpretation,,,,,,,,,,,,,,,,
#,comment:,of,the,GML,"data,",namely,well,documented,model,"code,",transport,,,,,,,,,,,,,,,
#,comment:,"fields,",and,additional,information,necessary,for,other,,,,,,,,,,,,,,,,,,
#,comment:,scientists,to,repeat,the,work,and,to,run,modified,versions.,,,,,,,,,,,,,,,
#,comment:,Model,availability,includes,collaborative,support,for,new,,,,,,,,,,,,,,,,,,
#,comment:,users,of,the,models.,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DESCRIPTION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,description_site-code:,zep,,,,,,,,,,,,,,,,,,,,,,,,
#,description_project-abbr:,ccg_surface,,,,,,,,,,,,,,,,,,,,,,,,
#,description_strategy-abbr:,flask,,,,,,,,,,,,,,,,,,,,,,,,
#,description_sample-constraints:,"me:-H~date:1900-01-01,2019-12-31",,,,,,,,,,,,,,,,,,,,,,,,
#,description_creation-time:,7/24/20,11:04:36,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,************,DATA,DOCUMENTATION,***************,,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
#,comment:,Please,refer,to,the,species-specific,README,file,in,the,,,,,,,,,,,,,,,,
#,comment:,appropriate,directory,folder,at,ftp://aftp.cmdl.noaa.gov/data/trace_gases/.,,,,,,,,,,,,,,,,,,,,
#,comment:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_site_code,sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,parameter_formula,analysis_group_abbr,analysis_value,analysis_uncertainty,analysis_flag,analysis_instrument,analysis_year,analysis_month,analysis_day,analysis_hour,analysis_minute,analysis_seconds,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number
ZEP,1994,2,11,14,30,0,315-91,P,co2,CCGG,362.97,0.12,...,S1,1994,3,30,12,0,0,78.9067,11.8883,479,474,5,166215
ZEP,1994,2,11,14,30,0,316-91,P,co2,CCGG,362.82,0.12,...,S1,1994,3,30,12,2,0,78.9067,11.8883,479,474,5,166216
ZEP,1994,2,14,14,30,0,179-91,P,co2,CCGG,363.09,0.12,...,S1,1994,3,23,8,56,0,78.9067,11.8883,479,474,5,166217
ZEP,1994,2,14,14,30,0,180-91,P,co2,CCGG,362.95,0.12,...,S1,1994,3,23,8,58,0,78.9067,11.8883,479,474,5,166218
ZEP,1994,2,17,9,45,0,503-91,P,co2,CCGG,362.89,0.12,...,S1,1994,3,30,8,52,0,78.9067,11.8883,479,474,5,166219
ZEP,1994,2,17,9,45,0,504-91,P,co2,CCGG,362.88,0.12,...,S1,1994,3,30,8,54,0,78.9067,11.8883,479,474,5,166220
ZEP,1994,2,19,14,0,0,501-91,P,co2,CCGG,362.23,0.12,...,S1,1994,3,30,8,56,0,78.9067,11.8883,479,474,5,166221
ZEP,1994,2,19,14,0,0,502-91,P,co2,CCGG,362.2,0.12,...,S1,1994,3,30,8,58,0,78.9067,11.8883,479,474,5,166222
ZEP,1994,2,21,14,0,0,245-91,P,co2,CCGG,362.71,0.12,...,S1,1994,3,30,8,48,0,78.9067,11.8883,479,474,5,166223
ZEP,1994,2,21,14,0,0,246-91,P,co2,CCGG,362.6,0.12,...,S1,1994,3,30,8,50,0,78.9067,11.8883,479,474,5,166224
ZEP,1994,2,22,15,0,0,333-91,P,co2,CCGG,364.27,0.12,...,S1,1994,3,30,8,44,0,78.9067,11.8883,479,474,5,166225
ZEP,1994,2,22,15,0,0,334-91,P,co2,CCGG,364.13,0.12,...,S1,1994,3,30,8,46,0,78.9067,11.8883,479,474,5,166226
ZEP,1994,2,23,8,0,0,441-91,P,co2,CCGG,365.1,0.12,...,S1,1994,3,30,12,4,0,78.9067,11.8883,479,474,5,166227
ZEP,1994,2,23,8,0,0,442-91,P,co2,CCGG,364.96,0.12,...,S1,1994,3,30,12,6,0,78.9067,11.8883,479,474,5,166228
ZEP,1994,2,23,17,15,0,203-91,P,co2,CCGG,364.12,0.12,...,S1,1994,3,30,11,20,0,78.9067,11.8883,479,474,5,166229
ZEP,1994,2,23,17,15,0,204-91,P,co2,CCGG,364.11,0.12,...,S1,1994,3,30,11,22,0,78.9067,11.8883,479,474,5,166230
ZEP,1994,4,22,8,55,0,82-91,P,co2,CCGG,364.39,0.12,...,S1,1994,6,21,8,50,0,78.9067,11.8883,479,474,5,166231
ZEP,1994,4,28,7,40,0,357-91,P,co2,CCGG,365.12,0.12,...,S1,1994,6,21,8,40,0,78.9067,11.8883,479,474,5,166232
ZEP,1994,4,28,7,40,0,358-91,P,co2,CCGG,365.11,0.12,...,S1,1994,6,21,8,42,0,78.9067,11.8883,479,474,5,166233
ZEP,1994,5,5,12,34,56,254-91,P,co2,CCGG,364.09,0.12,...,S1,1994,6,14,10,2,0,78.9067,11.8883,479,474,5,166234
ZEP,1994,5,12,12,34,56,57-91,P,co2,CCGG,363.19,0.12,...,S1,1994,6,9,8,52,0,78.9067,11.8883,479,474,5,166235
ZEP,1994,5,12,12,34,56,58-91,P,co2,CCGG,363.33,0.12,...,S1,1994,6,9,8,54,0,78.9067,11.8883,479,474,5,166236
ZEP,1994,5,16,12,45,0,537-91,P,co2,CCGG,363.94,0.12,...,S1,1994,6,9,10,0,0,78.9067,11.8883,479,474,5,166237
ZEP,1994,5,16,12,45,0,538-91,P,co2,CCGG,363.93,0.12,...,S1,1994,6,9,10,2,0,78.9067,11.8883,479,474,5,166238
ZEP,1994,5,18,7,30,0,243-91,P,co2,CCGG,363.26,0.12,...,S1,1994,6,9,9,44,0,78.9067,11.8883,479,474,5,166239
ZEP,1994,5,18,7,30,0,244-91,P,co2,CCGG,363.22,0.12,...,S1,1994,6,9,9,46,0,78.9067,11.8883,479,474,5,166240
ZEP,1994,5,21,7,45,0,151-91,P,co2,CCGG,363.5,0.12,...,S1,1994,6,9,9,48,0,78.9067,11.8883,479,474,5,166241
ZEP,1994,5,21,7,45,0,152-91,P,co2,CCGG,363.46,0.12,...,S1,1994,6,9,9,50,0,78.9067,11.8883,479,474,5,166242
ZEP,1994,5,23,7,30,0,27-91,P,co2,CCGG,362.92,0.12,...,S1,1994,6,9,10,4,0,78.9067,11.8883,479,474,5,166243
ZEP,1994,5,23,7,30,0,28-91,P,co2,CCGG,362.92,0.12,...,S1,1994,6,9,10,6,0,78.9067,11.8883,479,474,5,166244
ZEP,1994,5,26,16,15,0,747-91,P,co2,CCGG,362.97,0.12,...,S1,1994,6,21,8,52,0,78.9067,11.8883,479,474,5,166245
ZEP,1994,5,26,16,15,0,748-91,P,co2,CCGG,362.95,0.12,...,S1,1994,6,21,8,54,0,78.9067,11.8883,479,474,5,166246
ZEP,1994,5,28,7,25,0,745-91,P,co2,CCGG,363.05,0.12,...,S1,1994,6,21,8,48,0,78.9067,11.8883,479,474,5,166247
ZEP,1994,5,29,9,30,0,741-91,P,co2,CCGG,363.4,0.12,...,S1,1994,6,21,12,12,0,78.9067,11.8883,479,474,5,166248
ZEP,1994,5,29,9,30,0,742-91,P,co2,CCGG,363.44,0.12,...,S1,1994,6,21,12,14,0,78.9067,11.8883,479,474,5,166249
ZEP,1994,5,31,8,0,0,743-91,P,co2,CCGG,363.64,0.12,...,S1,1994,6,21,10,20,0,78.9067,11.8883,479,474,5,166250
ZEP,1994,5,31,8,0,0,744-91,P,co2,CCGG,363.59,0.12,...,S1,1994,6,21,10,22,0,78.9067,11.8883,479,474,5,166251
ZEP,1994,6,2,7,20,0,737-91,P,co2,CCGG,363.87,0.12,...,S1,1994,6,30,10,20,0,78.9067,11.8883,479,474,5,166252
ZEP,1994,6,2,7,20,0,738-91,P,co2,CCGG,363.85,0.12,...,S1,1994,6,30,10,22,0,78.9067,11.8883,479,474,5,166253
ZEP,1994,6,5,16,10,0,739-91,P,co2,CCGG,363.25,0.12,...,S1,1994,6,30,12,12,0,78.9067,11.8883,479,474,5,166254
